Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Cal Adomitis,LS,Pittsburgh,6-2,235,4.97,29.5,18,107,7.53,4.62
Austin Allen,TE,Nebraska,6-8,253,4.83,34.0,,121,7.00,4.26
Chase Allen,TE,Iowa St.,6-6,251,,33.5,,117,7.03,4.43
Christopher Allen,EDGE,Alabama,6-4,241,,,,,,
Tyler Allgeier,RB,BYU,5-11,224,4.60,33.0,,120,,
Troy Andersen,LB,Montana St.,6-4,243,4.42,36.0,,128,,
Tycen Anderson,S,Toledo,6-2,209,4.36,35.5,,123,6.64,4.28
Blaise Andries,OG,Minnesota,6-6,308,5.10,30.5,,106,7.84,4.68
Matt Araiza,P,San Diego St.,6-1,200,4.68,32.0,,121,,
Jalyn Armour-Davis,CB,Alabama,6-1,197,4.39,34.5,14,,,
Brian Asamoah,LB,Oklahoma,6-0,226,4.56,36.5,,124,,
Calvin Austin,WR,Memphis,5-8,170,4.32,39.0,,135,6.65,4.07
Tyler Badie,RB,Missouri,5-8,197,4.45,33.5,,121,,
Kalon Barnes,CB,Baylor,6-0,183,4.23,,,,,
Amaré Barno,EDGE,Virginia Tech,6-5,246,4.36,37.0,,131,,4.45
Darrian Beavers,LB,Cincinnati,6-4,237,,36.5,,125,6.91,
Markquese Bell,S,Florida A&M,6-2,212,4.41,36.5,,123,,4.46
David Bell,WR,Purdue,6-1,212,4.65,33.0,,118,7.14,4.57
Greg Bell,RB,San Diego St.,5-11,201,,31.0,17,120,,
Daniel Bellinger,TE,San Diego St.,6-5,253,4.63,34.5,22,125,7.05,4.47
Dane Belton,S,Iowa,6-1,205,4.43,36.5,,123,7.01,4.24
Terrel Bernard,LB,Baylor,6-1,224,,35.5,22,123,7.03,4.25
Bubba Bolden,S,Miami,6-2,209,4.47,,,116,,
Slade Bolden,WR,Alabama,5-11,193,4.66,32.0,,116,,
Nik Bonitto,EDGE,Oklahoma,6-3,248,4.54,35.5,,120,7.07,4.23
Thomas Booker,DT,Stanford,6-3,301,4.94,,,110,7.33,4.41
Andrew Booth,CB,Clemson,6-0,194,,,,,,
Max Borghi,RB,Washington St.,5-9,210,,,20,,,
Jaquan Brisker,S,Penn St.,6-1,199,4.49,34.5,22,124,,
Gabe Brkic,K,Oklahoma,6-2,197,,,,,,
Kennedy Brooks,RB,Oklahoma,5-11,209,4.59,31.0,,120,,
Ben Brown,C,Mississippi,6-5,312,,,,,,
Leddie Brown,RB,West Virginia,6-0,213,4.64,30.0,,118,,
Montaric Brown,CB,Arkansas,6-0,196,4.55,,,,,
Logan Bruss,OG,Wisconsin,6-5,309,5.32,31.0,,112,7.57,4.55
Coby Bryant,CB,Cincinnati,6-1,193,4.54,,17,,,
Spencer Burford,OG,Texas-San Antonio,6-4,304,5.19,27.5,,105,,4.73
Treylon Burks,WR,Arkansas,6-2,225,4.55,33.0,,122,7.28,
Darien Butler,LB,Arizona St.,5-10,221,,,,,7.47,
Matthew Butler,DT,Tennessee,6-4,297,5.00,32.0,17,112,7.89,4.81
Percy Butler,S,Louisiana,6-0,194,4.36,31.5,,123,,
Grant Calcaterra,TE,SMU,6-4,241,4.62,,20,,,
Jake Camarda,P,Georgia,6-1,193,4.56,,,,,
Chance Campbell,LB,Mississippi,6-2,232,4.57,39.5,,127,,
Ja'Tyre Carter,OG,Southern,6-3,311,5.13,30.0,,108,7.84,4.90
Zachary Carter,DE,Florida,6-4,282,4.99,27.5,19,110,,
Tariq Castro-Fields,CB,Penn St.,6-1,197,4.38,,,,,
Tykevious Chandler,RB,North Carolina,5-11,204,4.38,31.0,,121,,
Leo Chenal,LB,Wisconsin,6-3,250,4.53,40.5,,128,,
Lewis Cine,S,Georgia,6-2,199,4.37,36.5,,133,,

Damone Clark,LB,LSU,6-3,239,4.57,36.5,,127,7.12,
Micheal Clemons,DE,Texas A&M,6-5,263,,,24,116,,
Jack Coan,QB,Notre Dame,6-3,218,4.90,33.0,,115,6.95,4.39
Qwynnterrio Cole,S,Louisville,6-0,206,,,16,,,
Snoop Conner,RB,Mississippi,5-10,222,4.59,29.5,25,118,,
Bryan Cook,S,Cincinnati,6-1,206,,,,,,
James Cook,RB,Georgia,5-11,199,4.42,33.0,,124,,
Jashaun Corbin,RB,Florida St.,5-11,202,,,,,,
Yusuf Corker,S,Kentucky,6-0,203,,,23,,,
Matt Corral,QB,Mississippi,6-2,212,,,,,,
Charles Cross,OT,Mississippi St.,6-5,307,4.95,26.0,,112,7.88,4.61
Nick Cross,S,Maryland,6-0,212,4.34,37.0,,130,,
Dustin Crum,QB,Kent St.,6-1,210,4.75,32.5,,120,,4.36
Myron Cunningham,OT,Arkansas,6-5,320,5.38,20.0,,98,8.50,5.16
DJ Davidson,DT,Arizona St.,6-3,327,,28.0,23,,7.85,4.72
Jordan Davis,DT,Georgia,6-6,341,4.78,32.0,,123,,
Kalia Davis,DT,Central Florida,6-1,302,,,,,,
Tyrion Davis-Price,RB,LSU,6-0,211,4.48,30.0,,117,,
Nakobe Dean,LB,Georgia,5-11,229,,,,,,
Dawson Deaton,C,Texas Tech,6-6,306,5.12,29.0,24,108,7.52,4.49
Austin Deculus,OT,LSU,6-5,321,5.08,28.5,,109,,4.99
Cameron Dicker,K,Texas,6-1,220,,,,,,
Kellen Diesch,OT,Arizona St.,6-7,301,4.89,32.5,,110,7.77,4.43
Dai'Jean Dixon,WR,Nicholls St.,6-3,205,4.62,34.0,,125,7.28,4.42
JoJo Domann,LB,Nebraska,6-1,228,4.62,34.5,,119,,
Jahan Dotson,WR,Penn St.,5-11,178,4.43,36.0,,121,7.28,
Romeo Doubs,WR,Nevada,6-2,201,,,,,,
Dontario Drummond,WR,Mississippi,6-1,215,4.65,34.0,,122,,
Greg Dulcich,TE,UCLA,6-4,243,4.69,34.0,16,122,7.05,4.37
William Dunkle,OG,San Diego St.,6-5,328,5.44,26.0,25,95,7.97,4.91
Cobie Durant,CB,South Carolina St.,5-10,180,4.38,,,,,
Jerrion Ealy,RB,Mississippi,5-8,189,4.52,34.5,,128,,
Arnold Ebiketie,EDGE,Penn St.,6-2,250,,38.0,21,128,,
Trestan Ebner,RB,Baylor,5-11,206,4.43,30.0,,,,
