Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Seyi Ajirotutu,WR,Fresno State,6-3,204,4.60,36.0,14,115,7.22,4.39
Rahim Alem,DE,LSU,6-3,251,4.75,30.5,,106,7.54,4.80
Charles Alexander,DT,LSU,6-4,300,5.40,,,,,
Danario Alexander,WR,Missouri,6-5,215,4.62,,,,,
Nate Allen,S,South Florida,6-0,207,4.50,,16,,,
Tyson Alualu,DE,California,6-2,295,4.87,35.5,21,116,7.15,4.43
Jonathon Amaya,S,Nevada,6-1,203,4.43,28.0,8,118,,
Pat Angerer,ILB,Iowa,6-0,235,4.71,35.0,26,110,7.04,4.29
Lucien Antoine,S,Oklahoma State,6-0,215,4.62,32.0,28,120,7.38,4.47
Javier Arenas,CB,Alabama,5-9,197,4.60,,,112,,
Alric Arnett,WR,West Virginia,6-2,188,4.52,40.0,,122,7.03,4.43
Jon Asamoah,OG,Illinois,6-4,305,5.07,,,,,
Larry Asante,S,Nebraska,6-0,212,4.62,37.5,14,118,7.00,4.17
Geno Atkins,DT,Georgia,6-1,293,4.75,33.0,34,117,7.33,4.43
Brandon Banks,WR,Kansas State,5-7,149,4.37,31.0,,113,6.88,4.29
Kevin Basped,DE,Nevada,6-4,258,4.75,29.0,26,104,7.54,4.88
Zane Beadles,OG,Utah,6-4,310,5.28,,27,,,
Jason Beauchamp,ILB,UNLV,6-3,244,4.89,39.5,21,120,7.10,
Chris Bell,WR,Norfolk State,6-2,211,4.50,35.0,15,117,6.76,4.35
Joique Bell,RB,Wayne State (MI),5-11,220,4.68,36.5,,120,6.84,4.17
Arrelious Benn,WR,Illinois,6-1,219,4.57,37.0,20,118,,
Eric Berry,S,Tennessee,6-0,211,4.40,43.0,19,130,6.80,4.23
Jahvid Best,RB,California,5-10,199,4.34,32.5,18,113,6.75,4.17
Ciron Black,OG,LSU,6-4,327,5.53,25.5,23,91,8.52,5.13
LeGarrette Blount,RB,Oregon,6-0,241,4.70,35.0,18,117,6.85,4.49
Nyan Boateng,WR,California,6-1,204,4.66,36.0,14,112,7.35,4.69
Kyle Bosworth,OLB,UCLA,6-1,236,4.69,32.5,25,117,6.67,4.11
Brent Bowden,P,Virginia Tech,6-2,202,4.80,,,,,
Navorro Bowman,OLB,Penn State,6-0,242,4.70,29.5,26,115,6.91,4.59
Sam Bradford,QB,Oklahoma,6-4,236,4.79,,,,,
Dezmon Briscoe,WR,Kansas,6-2,207,4.66,33.0,9,115,7.10,4.57
Dorian Brooks,OG,James Madison,6-2,306,5.15,23.0,26,100,7.73,4.66
Chris Brown,RB,Oklahoma,5-10,210,4.55,36.0,17,115,,
Antonio Brown,WR,Central Michigan,5-10,186,4.56,33.5,13,105,6.98,4.18
Charles Brown,OT,USC,6-5,303,5.21,31.5,21,,,
Cornelius Brown,CB,Texas-El Paso,5-11,198,4.59,31.5,11,118,6.87,4.24
Jarrett Brown,QB,West Virginia,6-3,224,4.50,34.5,,114,7.24,4.39
Levi Brown,QB,Troy,6-3,229,4.93,31.5,20,106,7.07,4.43
Dez Bryant,WR,Oklahoma State,6-2,225,4.52,,,,,
Bryan Bulaga,OT,Iowa,6-5,314,5.20,27.5,26,98,7.70,4.75
Morgan Burnett,S,Georgia Tech,6-1,209,4.51,,16,,,
Crezdon Butler,CB,Clemson,6-0,191,4.43,39.5,17,121,7.08,4.23
Donald Butler,ILB,Washington,6-1,245,4.61,,35,,,
Jeff Byers,C,USC,6-3,301,5.04,,33,,,
Nate Byham,TE,Pittsburgh,6-4,268,4.97,29.0,,109,,
Kyle Calloway,OT,Iowa,6-6,323,5.46,23.5,22,92,7.96,4.86
Lee Campbell,ILB,Minnesota,6-2,247,4.88,34.0,17,108,7.27,4.40
Bruce Campbell,OT,Maryland,6-6,314,4.75,32.0,34,101,7.58,4.69
Sean Canfield,QB,Oregon State,6-4,223,4.93,29.5,,100,7.26,4.39
Selvish Capers,OT,West Virginia,6-5,308,5.11,30.5,19,106,7.68,4.68

Alex Carrington,DE,Arkansas State,6-5,285,4.92,,26,,,
Nolan Carroll,CB,Maryland,5-11,204,4.42,,,,,
Brandon Carter,OG,Texas Tech,6-6,329,5.34,24.5,22,102,7.82,4.94
Chris Carter,WR,California-Davis,5-11,191,4.49,,12,,,
Chris Chancellor,CB,Clemson,5-9,177,4.49,34.0,14,115,6.85,4.07
Kam Chancellor,S,Virginia Tech,6-3,231,4.62,32.0,22,116,7.36,4.41
Jamar Chaney,ILB,Mississippi State,6-1,242,4.54,39.0,26,124,6.90,4.29
Barry Church,S,Toledo,6-1,222,4.69,36.0,19,121,6.65,4.17
Daryll Clark,QB,Penn State,6-2,235,4.72,,21,,,
Jimmy Clausen,QB,Notre Dame,6-3,222,4.76,,,,,
Keenan Clayton,OLB,Oklahoma,6-1,229,4.59,41.5,27,124,,
Terrence Cody,DT,Alabama,6-4,354,5.71,20.5,,90,8.19,5.03
Justin Cole,OLB,San Jose State,6-3,242,4.76,34.5,22,117,7.13,4.42
Harry Coleman,S,LSU,6-1,211,4.56,33.0,13,115,7.24,4.42
Antonio Coleman,OLB,Auburn,6-1,255,4.76,,18,113,,
Kurt Coleman,S,Ohio State,5-10,192,4.55,,19,,,
John Conner,FB,Kentucky,5-11,246,4.64,35.0,24,111,7.15,4.32
Kavell Conner,OLB,Clemson,6-0,242,4.59,33.5,24,110,7.36,4.60
Chris Cook,CB,Virginia,6-2,212,4.45,38.0,7,132,6.88,4.23
Erik Cook,C,New Mexico,6-6,318,5.55,25.0,19,94,8.24,4.99
Riley Cooper,WR,Florida,6-3,222,4.53,33.0,,114,,
Perrish Cox,CB,Oklahoma State,5-11,195,4.58,32.5,12,113,,
Jermaine Cunningham,DE,Florida,6-3,266,4.89,,,,,
Rennie Curran,OLB,Georgia,5-11,235,4.75,34.5,25,,,
Anthony Davis,OT,Rutgers,6-5,323,5.36,33.0,21,99,8.17,4.97
Dexter Davis,OLB,Arizona State,6-1,244,4.62,35.0,25,109,7.08,4.30
Hall Davis,DE,Louisiana-Lafayette,6-4,271,4.84,,28,,,
Brandon Deaderick,DT,Alabama,6-4,314,5.08,,,,,
Eric Decker,WR,Minnesota,6-3,217,4.54,,15,,,
Chris DeGeare,OG,Wake Forest,6-4,325,5.12,32.5,27,103,7.84,4.90
Dorin Dickerson,TE,Pittsburgh,6-1,226,4.40,43.5,24,125,6.96,4.30
Ed Dickson,TE,Oregon,6-4,249,4.59,34.0,23,115,7.32,4.59
Phillip Dillard,ILB,Nebraska,6-0,245,4.65,31.5,,106,7.16,4.43
Andre Dixon,RB,Connecticut,6-1,205,4.56,40.0,,117,6.99,4.19
Anthony Dixon,RB,Mississippi State,6-1,233,4.67,33.0,15,121,7.09,4.49
Matt Dodge,P,East Carolina,6-1,224,,,,,,
Jim Dray,TE,Stanford,6-5,246,4.82,,17,,,
Vladimir Ducasse,OT,Massachusetts,6-4,332,5.21,26.0,29,91,8.25,4.97
Carlos Dunlap,DE,Florida,6-6,277,4.68,31.5,21,111,7.21,4.61
Jonathan Dwyer,RB,Georgia Tech,5-11,229,4.64,33.0,15,107,7.56,4.67
Marcus Easley,WR,Connecticut,6-3,210,4.39,34.0,16,123,6.94,4.60
A.J. Edds,OLB,Iowa,6-4,246,4.62,33.0,16,117,7.19,4.28
Armanti Edwards,WR,Appalachian State,5-11,187,4.41,,,,,
Brody Eldridge,TE,Oklahoma,6-5,261,4.72,31.5,,,,
Dedrick Epps,TE,Miami (FL),6-3,250,4.70,,19,,,
Jacoby Ford,WR,Clemson,5-9,186,4.28,33.5,15,115,7.00,4.44
Jason Fox,OT,Miami (FL),6-7,303,5.45,,23,,,
Dominique Franks,CB,Oklahoma,5-11,194,4.46,33.5,10,117,7.32,4.33
Junior Galette,OLB,Temple,6-2,257,4.77,33.5,25,113,7.04,4.16
Clifton Geathers,DE,South Carolina,6-7,299,4.98,36.0,26,112,7.69,

Riar Geer,FB,Colorado,6-3,256,5.00,33.0,13,106,7.13,4.29
Toby Gerhart,RB,Stanford,6-0,231,4.50,38.0,22,118,6.94,4.25
David Gettis,WR,Baylor,6-3,217,4.43,34.5,15,124,6.94,4.41
Brandon Ghee,CB,Wake Forest,6-0,192,4.37,37.0,15,127,6.75,4.07
Thaddeus Gibson,OLB,Ohio State,6-2,243,4.78,32.0,32,115,6.84,4.27
Mardy Gilyard,WR,Cincinnati,6-0,187,4.61,39.0,,116,6.92,4.40
Travis Goethel,ILB,Arizona State,6-2,240,4.81,35.0,21,111,6.93,4.54
Brandon Graham,OLB,Michigan,6-1,268,4.71,,31,,,
Garrett Graham,TE,Wisconsin,6-3,243,4.71,34.5,20,112,7.09,4.35
Jimmy Graham,TE,Miami (FL),6-6,260,4.53,38.5,,120,6.90,4.45
Marshay Green,CB,Mississippi,5-9,180,4.52,35.5,,124,6.66,4.11
Kurtis Gregory,OG,Missouri,6-4,305,5.31,25.5,26,91,7.62,4.93
Clint Gresham,LS,TCU,6-3,236,5.08,,,,,
Jermaine Gresham,TE,Oklahoma,6-5,261,4.66,35.0,20,113,7.07,4.53
Everson Griffen,DE,USC,6-3,273,4.65,,32,,,
Cody Grimm,S,Virginia Tech,5-11,203,4.55,35.5,11,117,6.58,
Rob Gronkowski,TE,Arizona,6-6,264,4.68,,23,,,
Joe Haden,CB,Florida,5-11,193,4.52,35.0,18,125,6.94,4.34
Max Hall,QB,BYU,6-1,209,4.84,32.0,,102,7.07,4.35
Clay Harbor,FB,Missouri State,6-3,252,4.62,40.0,30,120,,4.37
Montario Hardesty,RB,Tennessee,6-0,225,4.49,41.0,21,124,6.87,4.14
Greg Hardy,DE,Mississippi,6-4,281,4.82,35.0,21,117,7.25,4.65
Chris Hawkins,CB,LSU,6-0,187,4.43,35.0,16,118,6.91,4.46
Joe Hawley,C,UNLV,6-3,297,5.21,26.0,35,105,7.50,4.73
Aaron Hernandez,TE,Florida,6-2,245,4.64,,,,,
Tim Hiller,QB,West. Michigan,6-4,229,4.97,32.5,18,118,7.10,4.54
Shay Hodge,WR,Mississippi,6-1,209,4.62,33.5,11,117,6.90,4.32
Trindon Holliday,WR,LSU,5-5,166,4.34,42.0,10,116,6.54,4.48
Michael Hoomanawanui,TE,Illinois,6-4,264,4.77,,25,,,
Lamarr Houston,DT,Texas,6-3,305,4.84,33.5,30,114,7.61,4.71
Jerry Hughes,OLB,TCU,6-2,255,4.65,34.5,26,118,6.99,4.15
Josh Hull,ILB,Penn State,6-3,237,4.93,32.5,25,115,6.86,4.07
Carl Ihenacho,OLB,San Jose State,6-2,255,4.86,,20,,,
Mike Iupati,OG,Idaho,6-5,331,5.24,27.5,27,92,7.85,4.93
Brian Jackson,CB,Oklahoma,6-1,202,4.65,35.5,20,120,6.76,4.22
Kareem Jackson,CB,Alabama,5-10,196,4.40,37.5,13,118,6.92,4.14
Rashawn Jackson,FB,Virginia,6-1,239,4.75,34.5,,117,,
Brandon James,RB,Florida,5-6,176,4.47,,14,,,
Javarris James,RB,Miami (FL),6-0,212,4.58,36.0,21,115,,
A.J. Jefferson,CB,Fresno State,6-0,193,4.42,44.0,7,126,6.72,4.00
John Jerry,OT,Mississippi,6-5,328,5.15,27.5,,101,7.93,4.69
Micah Johnson,ILB,Kentucky,6-1,258,4.99,29.0,31,,,
Mike Johnson,OG,Alabama,6-5,312,5.37,25.0,,91,8.15,5.01
Stafon Johnson,RB,USC,5-11,214,4.62,35.5,13,118,,
Kyle Jolly,OT,North Carolina,6-6,311,5.36,21.5,20,89,7.89,4.87
Arthur Jones,DT,Syracuse,6-3,301,5.04,,,,,
Donald Jones,WR,Youngstown State,6-0,214,4.46,41.0,20,119,6.90,4.20
Reshad Jones,S,Georgia,6-1,214,4.51,39.5,24,118,7.43,4.54
Chad Jones,S,LSU,6-2,221,4.59,36.0,9,115,6.83,4.14
Linval Joseph,DT,East Carolina,6-4,328,5.09,30.0,39,100,8.12,4.71

Kevin Jurovich,WR,San Jose State,5-11,188,4.45,,14,,,
Mike Kafka,QB,Northwestern,6-3,225,4.93,32.0,,110,6.96,4.37
Sergio Kindle,OLB,Texas,6-3,250,4.65,36.5,25,118,7.26,4.53
Jammie Kirlew,DE,Indiana,6-1,260,5.05,33.0,26,111,7.50,4.74
Matt Kopa,OT,Stanford,6-6,300,5.14,,,,,
Keaton Kristick,OLB,Oregon State,6-3,234,4.70,34.0,16,120,6.96,4.21
Brandon LaFell,WR,LSU,6-2,211,4.58,36.0,,115,6.81,4.23
Brandon Lang,DE,Troy,6-4,266,5.00,28.5,20,104,,4.68
Ted Larsen,C,North Carolina State,6-3,304,5.19,24.0,26,96,7.81,4.66
Shawn Lauvao,OG,Arizona State,6-3,315,5.22,26.5,33,101,7.56,4.51
Simoni Lawrence,OLB,Minnesota,6-0,232,4.59,40.0,21,123,7.30,4.43
Boris Lee,ILB,Troy,6-0,238,4.94,32.5,27,112,,
Sean Lee,ILB,Penn State,6-2,236,4.71,37.5,24,120,,
Dan LeFevour,QB,Central Michigan,6-3,230,4.60,29.5,,110,6.93,4.22
Kendrick Lewis,S,Mississippi,6-0,198,4.73,31.5,16,116,6.88,4.33
Myron Lewis,S,Vanderbilt,6-2,203,4.42,37.0,10,126,,
Thaddeus Lewis,QB,Duke,6-0,215,4.84,28.0,,107,,
Trevard Lindley,CB,Kentucky,5-11,183,4.51,38.5,9,116,6.81,4.27
Scott Long,WR,Louisville,6-2,216,4.46,41.5,20,123,6.45,4.09
Erik Lorig,DE,Stanford,6-3,281,4.86,,,,,
Robert Malone,P,Fresno State,6-2,235,4.84,,19,,,
Darius Marshall,RB,Marshall,5-9,190,4.59,35.5,14,109,,4.39
Jeron Mastrud,TE,Kansas State,6-5,256,4.82,,,,,
Ryan Mathews,RB,Fresno State,6-0,218,4.37,36.0,19,121,7.00,4.33
Sam Maxwell,OLB,Kentucky,6-2,246,4.98,33.0,,108,7.37,4.52
Taylor Mays,S,USC,6-3,230,4.31,41.0,24,125,,
Kyle McCarthy,S,Notre Dame,6-0,205,4.58,34.0,24,117,6.74,4.13
Rolando McClain,ILB,Alabama,6-3,254,4.68,,24,,,
Albert McClellan,ILB,Marshall,6-1,247,4.75,36.5,26,119,7.24,4.21
Dexter McCluster,WR,Mississippi,5-9,172,4.53,37.5,20,118,,4.06
Devin McCourty,CB,Rutgers,5-11,193,4.38,36.0,16,126,6.70,4.07
Anthony McCoy,TE,USC,6-4,259,4.71,35.5,19,113,6.99,4.57
Colt McCoy,QB,Texas,6-1,216,4.79,,,114,,
Gerald McCoy,DT,Oklahoma,6-4,295,5.04,30.5,23,114,7.32,4.48
Chris McGaha,WR,Arizona State,6-1,201,4.52,40.0,19,122,,4.21
Joe McKnight,RB,USC,5-11,198,4.40,36.5,18,120,,
Mike McLaughlin,ILB,Boston Col.,6-0,242,4.84,38.5,29,114,6.85,4.11
Sherrick McManis,CB,Northwestern,5-11,195,4.48,,,,,
Shawnbrey McNeal,RB,SMU,5-9,194,4.53,36.0,14,117,,
Kerry Meier,WR,Kansas,6-2,224,4.62,35.0,13,115,,4.23
Zoltan Mesko,P,Michigan,6-4,240,4.79,,16,,,
Greg Middleton,DE,Indiana,6-3,268,4.96,38.0,,116,7.65,4.69
