Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Trey Adams,OL,Washington,6-8,318,5.60,24.5,,92,,
Hakeem Adeniji,OL,Kansas,6-4,302,5.17,34.0,26,115,,
McTelvin Agim,DL,Arkansas,6-3,309,4.98,,27,,,
Salvon Ahmed,RB,Washington,5-11,197,4.62,34.5,,120,,
Brandon Aiyuk,WR,Arizona State,6-0,205,4.50,40.0,11,128,,
Cam Akers,RB,Florida State,5-10,217,4.47,35.5,20,122,,4.42
Bradlee Anae,DL,Utah,6-3,257,4.93,31.0,25,115,7.44,4.43
Tremayne Anchrum,OL,Clemson,6-2,314,5.21,24.5,26,104,,
Jet Anderson,RB,TCU,5-10,208,4.61,36.0,19,128,,4.19
Damon Arnette,CB,Ohio State,6-0,195,4.56,,,,,
Grayland Arnold,CB,Baylor,5-9,186,4.59,33.0,12,120,7.01,4.30
Devin Asiasi,TE,UCLA,6-3,257,4.73,30.5,16,115,,
Joe Bachie,LB,Michigan State,6-1,230,4.67,33.5,26,119,6.93,4.34
Markus Bailey,LB,Purdue,6-0,235,,,15,,,
Trajan Bandy,CB,Miami,5-8,180,4.50,,10,,,
Ben Bartch,OL,Saint John's (MN),6-6,309,,,,,,
Tyler Bass,K,Georgia Southern,5-10,185,,,,,,
Essang Bassey,CB,Wake Forest,5-9,191,4.46,39.5,12,128,6.95,4.13
Zack Baun,LB,Wisconsin,6-2,238,4.65,32.5,24,115,7.00,4.31
Omar Bayless,WR,Arkansas State,6-1,212,4.62,36.0,11,123,7.35,4.50
Mekhi Becton,OL,Louisville,6-7,364,5.10,,23,,,
LeVante Bellamy,RB,Western Michigan,5-9,192,4.50,39.5,16,125,,
Eno Benjamin,RB,Arizona State,5-9,207,4.57,39.0,12,122,6.97,4.25
Francis Bernard,LB,Utah,6-0,234,4.81,32.5,19,120,,
Tyler Biadasz,OL,Wisconsin,6-4,314,,,,,,
Daniel Bituli,LB,Tennessee,6-2,246,4.84,32.0,16,121,,
Ross Blacklock,DL,TCU,6-3,290,4.90,29.0,,107,7.77,4.67
Julian Blackmon,S,Utah,6-0,187,,,,,,
Rodrigo Blankenship,K,Georgia,6-1,190,,,,,,
Lynn Bowden,WR,Kentucky,5-11,204,,,13,,,
Shaun Bradley,LB,Temple,6-1,235,4.51,32.5,14,121,7.07,4.24
Ben Bredeson,OL,Michigan,6-5,315,,,,,,
Jacob Breeland,TE,Oregon,6-5,252,,,,,,
Jordyn Brooks,LB,Texas Tech,6-0,240,4.54,,,,,
Cameron Brown,LB,Penn State,6-5,233,4.72,35.5,16,123,,
Derrick Brown,DL,Auburn,6-5,326,5.16,27.0,28,108,8.22,4.79
Tony Brown,WR,Colorado,6-1,198,4.65,33.5,14,119,7.21,4.27
Harrison Bryant,TE,Florida Atlantic,6-5,243,4.73,32.5,13,110,7.41,4.37
Hunter Bryant,TE,Washington,6-2,248,4.74,32.5,23,115,7.08,4.46
Kelly Bryant,QB,Missouri,6-3,229,4.69,35.0,,125,7.33,4.51
Myles Bryant,CB,Washington,5-8,183,4.62,31.5,,115,6.81,4.02
Terrell Burgess,S,Utah,5-11,202,4.46,33.5,20,122,,
Joe Burrow,QB,LSU,6-3,221,,,,,,
Cohl Cabral,OL,Arizona State,6-5,300,,,20,,,
Lawrence Cager,WR,Georgia,6-5,220,,,,,,
Raymond Calais,RB,Louisiana-Lafayette,5-8,188,4.42,37.5,20,120,,
Marquez Callaway,WR,Tennessee,6-1,205,4.55,38.0,,126,,
Shyheim Carter,S,Alabama,5-10,194,,,,,,
Quintez Cephus,WR,Wisconsin,6-1,202,4.73,38.5,23,124,7.20,4.33
K'Lavon Chaisson,LB,LSU,6-3,254,,,,,,

Saahdiq Charles,OL,LSU,6-4,321,5.05,,,,,
Joseph Charlton,P,South Carolina,6-4,195,,,,,,
Jeremy Chinn,S,Southern Illinois,6-3,221,4.45,41.0,20,138,,
Cameron Clark,OL,Charlotte,6-4,308,5.29,25.0,26,101,,
Nevelle Clarke,CB,UCF,6-1,190,,35.0,10,126,6.88,4.31
Chase Claypool,WR,Notre Dame,6-4,238,4.42,40.5,19,126,,
Rodney Clemons,S,SMU,6-0,209,4.71,33.5,21,118,,
Ezra Cleveland,OL,Boise State,6-6,311,4.93,30.0,30,111,7.26,4.46
Tyrie Cleveland,WR,Florida,6-2,209,4.46,39.5,13,126,,
Josiah Coatney,DL,Mississippi,6-3,308,5.21,27.0,22,99,8.07,4.82
Nick Coe,LB,Auburn,6-5,280,4.89,29.0,21,116,,
Kendall Coleman,DL,Syracuse,6-3,257,4.95,32.0,,114,7.50,4.62
Trystan Colon-Castillo,OL,Missouri,6-3,313,,,11,,,
