Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Mike Abrams,P,Virginia,6-4,227,,,,,,
Jonathan Adams,RB,Arkansas State,6-0,219,4.58,36.5,15,120,6.97,4.31
P.J. Alexander,OG,Syracuse,6-4,299,5.38,29.5,,102,7.90,4.73
Jeremy Allen,FB,Iowa,6-0,241,4.59,38.0,17,126,7.06,4.49
Brian Allen,RB,Stanford,5-9,209,4.46,33.0,19,112,6.90,4.08
James Allen,OLB,Oregon State,6-3,240,4.62,38.0,24,126,7.59,4.21
Matt Anderle,OT,Minnesota,6-6,327,5.50,29.0,26,104,7.99,4.80
Damien Anderson,RB,Northwestern,5-10,211,4.56,33.5,27,112,6.93,4.02
Marques Anderson,S,UCLA,5-11,213,4.50,39.5,18,127,,
Mark Anelli,TE,Wisconsin,6-4,262,4.80,,18,,,
Akin Ayodele,OLB,Purdue,6-2,257,4.81,35.0,26,121,7.00,4.12
Chris Baker,TE,Michigan State,6-3,258,4.81,35.0,18,112,6.95,
Jason Ball,C,New Hampshire,6-2,301,5.41,29.0,27,94,7.87,4.73
Clenton Ballard,DT,Texas State,6-2,313,5.18,26.5,24,93,7.47,4.64
Mike Banks,TE,Iowa State,6-4,260,4.84,31.5,,104,,
Justin Bannan,DT,Colorado,6-3,300,5.00,29.0,24,99,7.31,4.24
Kevin Barry,OG,Arizona,6-4,325,5.34,28.5,24,108,8.34,4.73
Will Bartholomew,FB,Tennessee,6-0,246,4.68,38.0,35,119,6.85,4.09
Rashad Bauman,CB,Oregon,5-8,186,4.44,39.0,10,118,,
Jarrod Baxter,FB,New Mexico,6-1,245,4.70,32.5,23,116,7.10,4.27
Chad Beasley,DT,Virginia Tech,6-5,303,5.15,31.5,27,104,7.75,4.60
Atrews Bell,WR,Florida State,5-11,218,4.52,,,,,
Kevin Bentley,OLB,Northwestern,6-0,243,4.68,39.0,23,120,6.71,3.83
LeCharles Bentley,C,Ohio State,6-2,299,5.19,25.5,,103,7.85,4.54
Rocky Bernard,DT,Texas A&M,6-3,294,4.96,33.0,30,108,7.43,4.41
Ladell Betts,RB,Iowa,5-10,220,4.62,38.0,23,116,7.06,4.06
Martin Bibla,OG,Miami (FL),6-3,306,5.08,,35,,,
Terreal Bierria,S,Georgia,6-3,216,4.61,36.0,18,130,6.93,4.10
Dwayne Blakley,TE,Missouri,6-5,256,4.96,32.5,21,107,7.33,4.29
Rocky Boiman,OLB,Notre Dame,6-4,242,4.60,35.0,17,122,6.86,4.05
Bruce Branch,CB,Penn State,5-10,192,4.53,35.0,,119,7.12,4.47
Deion Branch,WR,Louisville,5-9,191,4.47,36.0,,117,6.71,3.78
Sam Brandon,S,UNLV,6-2,199,4.66,36.5,,127,,
Jack Brewer,S,Minnesota,6-0,194,4.59,37.0,12,122,6.90,4.24
Raheem Brock,DE,Temple,6-4,257,4.93,34.0,25,115,7.09,4.23
Alex Brown,DE,Florida,6-3,260,4.74,,,,,
Sheldon Brown,CB,South Carolina,5-10,196,4.47,36.5,15,120,7.00,4.24
Antonio Bryant,WR,Pittsburgh,6-1,188,4.57,37.0,,121,,
Wendell Bryant,DT,Wisconsin,6-4,308,4.91,,,,,
Phillip Buchanon,CB,Miami (FL),5-10,186,4.31,,,,,
Courtland Bullard,OLB,Ohio State,6-3,234,4.69,36.5,,123,6.99,4.28
Joe Burns,RB,Georgia Tech,5-9,213,4.81,31.0,21,105,,
Jamie Burrow,ILB,Nebraska,6-1,249,4.83,30.5,18,102,7.28,4.21
Reche Caldwell,WR,Florida,6-0,194,4.53,41.5,,130,7.00,4.10
Rocky Calmus,OLB,Oklahoma,6-3,243,4.69,,16,,,
Kelly Campbell,WR,Georgia Tech,5-10,171,4.48,,,,,
Pete Campion,OG,North Dakota State,6-4,307,5.26,25.5,30,88,7.96,4.81
David Carr,QB,Fresno State,6-3,223,4.67,35.0,,108,7.05,4.28
Demontray Carter,RB,Troy,5-10,191,4.52,33.0,16,120,7.38,4.36
Tim Carter,WR,Auburn,6-0,190,4.32,39.0,,126,6.68,3.93

Rock Cartwright,RB,Kansas State,5-8,237,4.47,35.0,30,116,7.18,4.25
Chris Cash,CB,USC,5-10,177,4.50,,,,,
Jeff Chandler,K,Florida,6-2,218,5.00,,,,,
Terry Charles,WR,Portland State,6-3,207,4.52,36.5,,122,7.02,4.09
Jermaine Chatman,CB,Arizona,5-11,185,4.55,35.5,,121,,
Kenyon Coleman,DE,UCLA,6-5,284,4.97,,32,,,
Reggie Coleman,OT,Tennessee,6-5,301,5.23,29.0,,103,7.84,4.88
Mike Collins,OT,Wake Forest,6-5,300,5.53,25.5,32,104,8.62,4.98
Mike Collins,DT,Ohio State,6-3,298,5.03,31.5,31,105,7.52,4.46
Marc Colombo,OT,Boston Col.,6-8,313,5.27,29.5,30,101,7.65,4.60
Joe Cooper,OLB,Ohio State,6-0,233,4.95,32.0,17,111,7.47,4.46
Keyuo Craver,CB,Nebraska,5-11,201,4.62,31.0,13,123,,
Eric Crouch,RB,Nebraska,6-0,195,4.47,38.0,,112,6.87,4.02
Alonzo Cunningham,OG,Iowa,6-4,316,5.46,24.0,,98,8.52,4.73
Ronald Curry,QB,North Carolina,6-2,220,4.59,35.0,,115,7.06,4.11
Kevin Curtis,S,Texas Tech,6-2,212,4.53,37.5,24,124,6.75,3.88
Woody Dantzler,QB,Clemson,5-10,207,4.59,,,,,
Najeh Davenport,FB,Miami (FL),6-1,248,4.57,,,,,
Rohan Davey,QB,LSU,6-2,245,4.74,,,,,
Andre' Davis,WR,Virginia Tech,6-1,194,4.42,39.5,,123,6.77,4.10
Andra Davis,ILB,Florida,6-1,244,4.77,31.5,20,112,,
Dorsett Davis,DT,Mississippi State,6-5,304,5.00,31.0,30,109,7.83,4.67
Dan Dawson,S,Rice,6-1,219,4.57,38.0,24,124,6.75,4.00
Konrad Dean,OG,Akron,6-4,333,5.57,27.5,30,97,8.37,4.97
Ryan Denney,DE,BYU,6-7,276,4.86,33.0,36,107,7.18,4.25
Kori Dickerson,FB,USC,6-4,240,4.75,34.0,22,116,7.34,4.51
Brandon Doman,QB,BYU,6-2,210,4.81,32.5,,106,6.90,4.08
Travis Dorsch,P,Purdue,6-6,221,4.89,,,,,
T.J. Duckett,RB,Michigan State,6-0,254,4.45,,,,,
Howard Duncan,OG,Oklahoma,6-4,324,5.44,28.5,22,101,8.31,4.69
Tim Duncan,K,Oklahoma,6-2,207,5.00,,,,,
Nate Dwyer,DT,Kansas,6-3,313,5.10,31.0,27,103,7.57,4.41
Omar Easy,FB,Penn State,6-1,244,4.53,40.0,21,123,7.25,4.12
Andy Eby,C,Kansas State,6-3,300,5.10,29.0,28,103,7.46,4.55
Mike Echols,CB,Wisconsin,5-9,190,4.35,,,,,
Kalimba Edwards,DE,South Carolina,6-5,265,4.75,,,,,
Steve Edwards,OG,Central Florida,6-5,355,5.50,23.0,20,94,8.37,5.15
Antwaan Randle El,WR,Indiana,5-10,191,4.49,,,,,
Justin Ena,ILB,BYU,6-3,247,4.71,34.0,20,116,6.78,4.11
R.J. English,WR,Pittsburgh,6-2,211,4.55,37.5,,121,7.03,4.11
Hayden Epstein,K,Michigan,6-2,212,4.79,,,,,
Demarcus Faggins,CB,Kansas State,5-10,178,4.57,36.5,3,121,6.64,3.92
Randy Fasani,QB,Stanford,6-3,224,4.77,31.5,,106,6.75,3.87
Trev Faulk,ILB,LSU,6-3,241,4.90,32.0,,116,,
Jeff Ferguson,P,Oklahoma,5-10,201,4.80,,,,,
Levar Fisher,OLB,North Carolina State,6-1,233,4.67,31.0,,110,7.30,
Tony Fisher,RB,Notre Dame,6-1,226,4.66,41.5,21,126,7.00,4.13
Little John Flowers,RB,Michigan State,5-11,214,4.72,34.0,19,110,7.09,4.08
Delvon Flowers,RB,Arizona State,5-11,200,4.67,35.5,15,117,,
Toniu Fonoti,OG,Nebraska,6-4,349,5.49,28.5,32,97,8.12,4.81

Larry Foote,OLB,Michigan,6-1,231,4.83,30.0,24,,7.18,4.41
Willie Ford,CB,Syracuse,6-1,195,4.57,34.0,10,117,7.25,4.33
Lonnie Ford,DE,USC,6-2,261,4.77,37.5,22,112,7.12,4.28
DeShaun Foster,RB,UCLA,6-1,222,4.57,35.5,20,119,6.82,4.16
Melvin Fowler,C,Maryland,6-3,300,5.46,27.0,32,99,7.51,4.60
Eddie Freeman,DT,Ala-Birmingham,6-5,310,4.91,34.5,32,111,7.85,4.81
Dwight Freeney,DE,Syracuse,6-1,266,4.48,,28,,,
Scott Fujita,OLB,California,6-5,248,4.64,42.0,20,122,7.09,4.21
Jabar Gaffney,WR,Florida,6-1,193,4.56,,,,6.87,4.06
Paris Gaines,FB,Fresno State,6-0,228,4.67,,14,,,
David Garrard,QB,East Carolina,6-2,235,4.82,33.5,,111,7.35,4.26
David Givens,WR,Notre Dame,6-0,217,4.56,40.5,,126,6.82,4.13
LaVar Glover,CB,Cincinnati,5-9,177,4.59,37.0,11,117,7.18,4.29
Andre Goodman,CB,South Carolina,5-10,182,4.36,,,,,
Jonathan Goodwin,OG,Michigan,6-3,318,5.13,,,,,
Lamar Gordon,RB,North Dakota State,6-1,214,4.55,34.0,16,119,,
Daniel Graham,TE,Colorado,6-3,248,4.64,36.0,,118,,
Charles Grant,DE,Georgia,6-3,282,4.69,31.0,24,118,7.69,4.39
Bobby Gray,S,Louisiana Tech,6-0,209,4.66,,24,112,,
Jarvis Green,DE,LSU,6-3,272,4.87,31.0,,109,7.52,4.25
William Green,RB,Boston Col.,6-0,221,4.60,42.0,27,121,,
David Greene,K,Virginia,5-10,177,,,,,,
Andre Gurode,OG,Colorado,6-4,316,5.34,30.5,,100,8.15,5.05
Sean Guthrie,DE,Boston Col.,6-4,269,4.88,,28,,,
Joe Hall,FB,Kansas State,6-2,271,4.97,28.0,22,107,,
Carlos Hall,DE,Arkansas,6-4,259,4.67,40.0,20,129,6.97,4.19
Ryan Hannam,TE,New Mexico,6-2,251,4.69,30.5,18,113,7.07,4.21
Alan Harper,DT,Fresno State,6-2,295,5.27,30.5,,104,,4.64
Joey Harrington,QB,Oregon,6-4,215,4.89,32.0,,112,7.00,4.21
Napoleon Harris,OLB,Northwestern,6-3,253,4.55,34.0,27,115,7.15,4.44
Quentin Harris,S,Syracuse,6-0,216,4.61,36.5,14,120,7.59,4.34
Tyreo Harrison,ILB,Notre Dame,6-2,238,4.87,40.0,,118,7.24,
Herb Haygood,WR,Michigan State,5-11,193,4.45,33.0,,114,6.65,4.26
Verron Haynes,FB,Georgia,5-10,224,4.78,31.5,25,117,7.27,4.08
Albert Haynesworth,DT,Tennessee,6-6,320,5.09,,,,,
