Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Jon Abbate,ILB,Wake Forest,5-10,231,5.00,38.5,26,115,7.12,4.33
Victor Abiamiri,DE,Notre Dame,6-4,267,4.80,,25,,,
Gaines Adams,DE,Clemson,6-5,258,4.64,35.0,,119,7.17,4.36
Jesse Ainsworth,K,Arizona State,6-3,218,4.75,,,,,
Ikaika Alama-Francis,DE,Hawaii,6-5,280,4.85,,,,,
Gerald Alexander,S,Boise State,6-0,210,4.51,41.0,15,124,7.24,4.21
Rufus Alexander,OLB,Oklahoma,6-1,228,4.79,35.0,25,117,7.06,4.30
Jay Alford,DT,Penn State,6-3,304,5.17,25.5,,103,7.81,4.83
Michael Allan,TE,Whitworth,6-6,255,4.71,36.0,19,123,7.31,4.52
Andy Alleman,OG,Akron,6-4,305,5.07,30.0,27,106,7.80,4.65
Aundrae Allison,WR,East Carolina,6-0,198,4.39,37.0,,127,,
Cory Anderson,FB,Tennessee,6-2,247,4.70,37.0,19,115,7.37,4.35
Deon Anderson,FB,Connecticut,5-11,243,4.73,33.0,23,114,7.27,4.43
Jamaal Anderson,DE,Arkansas,6-5,288,4.75,,,,,
Antwan Applewhite,DE,San Diego State,6-3,250,4.73,35.0,25,115,7.50,4.36
Anthony Arline,CB,Baylor,6-2,199,4.43,34.5,12,124,7.02,4.46
Baraka Atkins,DE,Miami (FL),6-4,271,4.69,33.0,22,111,,
Travarous Bain,CB,Kansas State,6-0,182,4.43,,10,,,
Dallas Baker,WR,Florida,6-3,208,4.53,36.0,,129,6.69,4.19
Reggie Ball,WR,Georgia Tech,5-11,203,4.67,30.0,15,112,6.90,4.19
David Ball,WR,North Texas,6-1,196,4.70,,,,6.94,4.21
Allen Barbre,OT,Missouri Southern,6-4,300,4.84,32.0,28,105,7.40,4.63
Antwan Barnes,OLB,Florida International,6-1,240,4.43,35.0,31,122,7.29,4.32
Dan Bazuin,DE,Central Michigan,6-3,266,4.77,30.0,25,109,7.09,4.75
Jon Beason,OLB,Miami (FL),6-0,237,4.72,,19,111,,
John Beck,QB,BYU,6-2,215,4.75,29.5,,111,6.81,4.17
Josh Beekman,OG,Boston Col.,6-2,313,5.36,25.5,24,93,8.24,4.81
Nate Bennett,OG,Michigan State,6-4,316,5.47,26.5,34,90,8.15,5.04
Fred Bennett,CB,South Carolina,6-1,196,4.46,38.5,17,125,6.67,4.30
Stephen Berg,OG,Arizona State,6-5,330,5.38,,19,,,
Larry Birdine,DE,Oklahoma,6-4,261,5.02,32.0,21,107,7.47,4.76
Desmond Bishop,ILB,California,6-2,239,4.78,,33,,,
Quincy Black,OLB,New Mexico,6-2,240,4.42,41.5,24,124,6.86,4.34
H.B. Blades,ILB,Pittsburgh,5-11,236,4.69,,22,,,
Justin Blalock,OG,Texas,6-3,320,5.10,28.5,40,101,7.75,4.72
Kody Bliss,P,Auburn,5-10,179,5.08,,,,,
Lorenzo Booker,RB,Florida State,5-10,191,4.46,35.5,26,121,,
Kevin Boss,TE,Western Oregon,6-6,252,4.78,35.0,,116,6.96,4.41
Dwayne Bowe,WR,LSU,6-2,221,4.51,33.0,,125,6.81,4.35
