Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Hamza Abdullah,S,Washington State,6-2,214,,39.0,18,114,6.94,
Anthony Alabi,OT,TCU,6-5,310,5.12,32.5,18,105,7.62,4.60
Lorenzo Alexander,DT,California,6-2,289,5.12,29.5,28,106,7.53,4.55
Jared Allen,QB,Florida Atlantic,6-2,218,4.93,27.5,,106,7.29,4.39
Derek Anderson,QB,Oregon State,6-6,242,5.03,29.0,,103,7.67,4.62
Calvin Armstrong,OT,Washington State,6-7,325,5.51,34.0,26,100,7.62,4.66
J.J. Arrington,RB,California,5-9,214,4.40,35.0,18,121,6.81,4.10
O.J. Atogwe,S,Stanford,5-11,219,4.52,,22,,,
Adrian Awasom,DE,North Texas,6-4,279,4.93,32.5,23,107,7.57,4.40
David Baas,OG,Michigan,6-4,319,5.06,29.5,29,105,7.50,4.46
Jonathan Babineaux,DT,Iowa,6-2,286,4.87,29.5,21,109,7.70,4.57
Billy Bajema,TE,Oklahoma State,6-5,261,4.74,31.5,16,113,7.05,4.25
Marion Barber,RB,Minnesota,5-11,221,4.49,40.0,20,127,,
Khalif Barnes,OT,Washington,6-6,305,4.92,35.0,26,106,7.57,4.54
Alex Barron,OT,Florida State,6-7,320,4.87,35.5,,112,7.83,4.56
Ronald Bartell,CB,Howard,6-1,211,4.37,35.5,21,,,
Jordan Beck,OLB,Cal Poly,6-2,233,4.60,41.0,25,128,7.11,4.10
Bryce Benekos,P,Texas-El Paso,6-5,227,5.10,,,,,
Cedric Benson,RB,Texas,5-10,222,4.62,,,,,
Adam Bergen,TE,Lehigh,6-4,265,4.78,38.0,25,121,7.11,4.10
Joe Berger,OT,Michigan Tech,6-5,303,5.18,27.0,30,96,7.77,4.62
Justin Beriault,S,Ball State,6-3,204,4.52,39.5,14,132,6.92,3.80
Brock Berlin,QB,Miami (FL),6-1,221,4.83,29.0,,109,7.49,4.54
Atari Bigby,S,Central Florida,5-11,214,4.57,35.0,19,112,7.00,4.10
DeCori Birmingham,RB,Arkansas,5-10,210,4.56,34.5,14,118,7.13,4.28
Darryl Blackstock,OLB,Virginia,6-3,247,4.70,39.0,25,126,7.05,4.29
Michael Boley,OLB,Southern Miss,6-3,236,4.56,34.0,,113,7.08,4.12
Mark Bradley,WR,Oklahoma,6-1,201,4.37,39.5,,128,6.96,3.98
Craig Bragg,WR,UCLA,6-1,196,4.46,36.0,,,,
Jamaal Brimmer,S,UNLV,6-1,216,4.80,32.0,16,113,7.78,4.63
Wesley Britt,OT,Alabama,6-8,314,5.20,,24,,,
C.J. Brooks,OG,Maryland,6-5,309,5.18,31.5,24,108,7.61,4.56
Nehemiah Broughton,RB,Citadel,5-11,250,4.59,30.0,25,108,7.54,4.28
Tim Brown,OT,West Virginia,6-4,318,5.60,29.0,23,93,7.84,4.92
Elton Brown,OG,Virginia,6-5,329,4.93,,,,,
Jason Brown,C,North Carolina,6-3,313,5.40,30.5,23,105,7.72,4.51
Jammal Brown,OT,Oklahoma,6-6,316,5.06,31.5,,109,7.93,4.67
Reggie Brown,WR,Georgia,6-2,196,4.45,41.5,,128,6.99,3.94
Ronnie Brown,RB,Auburn,6-0,233,4.43,34.0,18,117,7.10,4.08
Brandon Browner,CB,Oregon State,6-3,221,4.63,36.5,13,123,7.20,4.24
Anthony Bryant,DT,Alabama,6-3,337,5.06,31.5,23,106,7.80,4.68
Doug Buckles,OG,Mississippi,6-5,311,5.53,23.5,18,89,8.17,4.80
Dan Buenning,OG,Wisconsin,6-4,320,5.35,28.0,29,111,7.90,4.59
Josh Bullocks,S,Nebraska,6-0,209,4.46,37.5,,118,7.09,4.08
Tim Bulman,DT,Boston Col.,6-3,294,4.91,32.5,35,115,7.23,4.20
Kevin Burnett,OLB,Tennessee,6-3,239,4.58,36.0,20,130,,
Vincent Burns,DE,Kentucky,6-0,267,4.84,35.0,25,122,7.24,4.41
Larry Burt,DT,Miami (OH),6-2,304,5.36,28.0,22,98,8.03,4.72
James Butler,S,Georgia Tech,6-2,213,4.51,40.5,16,127,7.10,3.98
Jason Campbell,QB,Auburn,6-5,230,4.71,,,,,

Chris Canty,DE,Virginia,6-7,279,4.98,,,,,
Jerome Carter,S,Florida State,5-11,220,4.47,35.0,21,121,7.18,4.04
Luis Castillo,DT,Northwestern,6-3,303,4.79,34.5,32,112,,
Timmy Chang,QB,Hawaii,6-1,211,5.08,29.0,,111,7.24,4.20
Maurice Clarett,RB,Ohio State,6-0,234,4.78,34.0,22,115,,
Ryan Claridge,OLB,UNLV,6-2,254,4.78,,,,,
Mark Clayton,WR,Oklahoma,5-10,193,4.41,36.5,,118,6.95,4.07
Jonathan Clinkscale,OG,Wisconsin,6-2,315,5.51,27.5,,99,,
DeAndra Cobb,RB,Michigan State,5-10,196,4.49,34.0,17,118,7.13,4.25
Dan Cody,DE,Oklahoma,6-5,254,4.75,,,,,
Shaun Cody,DT,USC,6-4,293,5.05,,34,,,
Trent Cole,OLB,Cincinnati,6-2,236,4.70,,,,,
Eric Coleman,DT,Clemson,6-5,288,5.12,33.0,27,118,7.42,4.71
Jerome Collins,TE,Notre Dame,6-4,267,4.71,,21,118,,
Nick Collins,CB,Bethune-Cookman,5-11,206,4.36,40.0,11,118,6.94,4.16
Chris Colmer,OT,Boise State,6-5,310,5.19,,,,,
Jon Colon,OT,Florida,6-7,317,5.64,25.5,,85,8.03,4.89
Dustin Colquitt,P,Tennessee,6-2,211,4.88,,,,,
Dan Connolly,OT,Southeast Missouri,6-4,311,5.19,28.5,22,108,7.65,4.54
Sean Considine,S,Iowa,6-0,212,4.50,37.0,19,117,7.09,3.92
Atcheson Conway,S,Bowie State,5-10,219,4.90,32.0,14,108,7.38,4.10
Roger Cooper,OLB,Montana State,6-2,239,4.75,35.5,19,118,7.28,4.33
Junius Coston,C,North Carolina A&T,6-3,310,5.31,29.5,21,102,7.93,4.56
Jonas Crafts,TE,Texas-El Paso,6-3,247,4.89,,24,,,
Channing Crowder,ILB,Florida,6-2,252,4.71,,,,,
Airese Currie,WR,Clemson,5-10,186,4.49,38.0,,125,7.05,4.07
Markus Curry,CB,Michigan,5-11,181,4.59,35.0,12,117,7.04,3.89
Tony Curtis,TE,Portland State,6-5,269,4.93,,21,115,,
Harvey Dahl,OT,Nevada,6-6,299,5.42,27.0,17,99,8.15,4.58
Travis Daniels,CB,LSU,6-1,194,4.54,35.0,,120,6.95,3.97
Josh Davis,WR,Marshall,6-0,191,4.52,37.5,,118,7.19,4.22
Anthony Davis,RB,Wisconsin,5-7,200,4.50,38.0,18,121,7.39,
Chauncey Davis,DE,Florida State,6-2,273,4.80,37.0,22,118,7.66,4.44
Jim Davis,DE,Virginia Tech,6-3,277,4.75,34.0,,111,7.11,4.23
Thomas Davis,S,Georgia,6-1,230,4.60,36.5,,115,7.09,3.97
Ben Dougherty,QB,Florida A&M,6-2,222,4.72,33.0,,108,7.41,4.34
Joel Dreessen,TE,Colorado State,6-4,260,4.72,36.0,22,113,7.09,4.01
Adell Duckett,DE,Texas Tech,6-3,270,4.93,34.5,14,105,7.75,4.35
Kevin Dudley,FB,Michigan,6-0,238,4.91,30.0,19,109,7.25,4.56
Clifford Dukes,DE,Michigan State,6-3,268,4.95,31.5,28,,,
Jon Dunn,OT,Virginia Tech,6-7,328,5.40,,,,,
Braylon Edwards,WR,Michigan,6-3,211,4.45,,,,,
Abraham Elimimian,CB,Hawaii,5-10,190,4.62,39.0,14,121,,4.05
Atiyyah Ellison,DT,Missouri,6-4,305,5.07,27.5,25,103,8.00,4.79
Ben Emanuel,S,UCLA,6-3,213,4.57,,21,,,
Jamar Enzor,OLB,Cincinnati,6-0,243,4.75,,21,,,
Trai Essex,OT,Northwestern,6-4,324,5.61,29.0,,96,8.11,4.92
Kevin Everett,TE,Miami (FL),6-5,241,4.72,,,,,
Liam Ezekiel,ILB,Northeastern (MA),6-0,249,4.81,34.5,36,118,7.27,4.12
Cole Farden,P,Oklahoma State,5-10,205,4.94,,,,,

Ciatrick Fason,RB,Florida,6-1,207,4.58,,,,,
Diamond Ferri,S,Syracuse,5-10,223,4.59,35.5,20,111,7.15,4.14
Ronald Fields,DT,Mississippi State,6-2,313,5.24,27.0,,102,8.01,4.68
Alfred Fincher,ILB,Connecticut,6-1,238,4.68,31.5,25,112,7.69,4.45
Adam Finley,P,Michigan,6-4,221,,,,,,
Ryan Fitzpatrick,QB,Harvard,6-2,232,4.86,30.5,,105,7.09,4.07
Dustin Fox,S,Ohio State,5-11,191,4.43,43.5,7,,,
Domonique Foxworth,CB,Maryland,5-11,184,4.34,41.0,14,125,6.78,3.89
Aaron Francisco,S,BYU,6-2,211,4.74,35.0,17,113,6.96,4.07
Simon Fraser,DE,Ohio State,6-6,288,5.00,28.0,23,106,7.54,4.43
Andre Frazier,DE,Cincinnati,6-5,234,4.66,38.0,19,124,7.09,4.12
Charles Frederick,WR,Washington,5-11,194,4.78,33.0,,108,7.39,4.25
Charlie Frye,QB,Akron,6-4,225,4.79,33.0,,113,6.94,4.08
Vincent Fuller,S,Virginia Tech,6-1,189,4.44,,,,,
Dylan Gandy,OG,Texas Tech,6-3,304,5.12,29.5,,100,7.62,4.51
Lionel Gates,RB,Louisville,6-0,222,4.60,36.0,23,121,7.17,4.10
George Gause,DE,South Carolina,6-5,275,4.68,,,,,
Justin Geisinger,OT,Vanderbilt,6-4,322,5.38,25.0,34,95,7.87,4.62
Eric Ghiaciuc,C,Central Michigan,6-4,302,5.09,32.0,30,105,7.87,4.56
