Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Oday Aboushi,OT,Virginia,6-5,308,5.41,23.5,17,100,7.92,4.84
Johnny Adams,CB,Michigan State,5-10,185,4.48,,16,,,
Robert Alford,CB,SE Louisiana,5-10,188,4.39,40.0,17,132,6.89,4.23
Keenan Allen,WR,California,6-2,206,4.58,,,,,
Ryan Allen,P,Louisiana Tech,6-1,229,4.98,,,,,
Zach Allen,OG,North Carolina State,6-2,332,5.43,,32,,,
Kiko Alonso,ILB,Oregon,6-3,238,4.74,,,,,
David Amerson,CB,North Carolina State,6-1,205,4.44,35.5,15,127,,
C.J. Anderson,RB,California,5-8,224,4.60,32.0,17,119,7.15,4.12
Ziggy Ansah,DE,BYU,6-5,271,4.56,34.5,21,118,7.11,4.26
Marc Anthony,CB,California,5-11,196,4.63,35.0,12,118,6.74,4.07
Terron Armstead,OT,Ark-Pine Bluff,6-5,306,4.71,34.5,31,112,7.62,4.72
Tavon Austin,WR,West Virginia,5-8,174,4.34,32.0,14,120,,4.01
Jeff Baca,OG,UCLA,6-3,302,5.03,26.5,,100,7.26,4.44
Alvin Bailey,OG,Arkansas,6-3,312,4.95,,27,,,
Stedman Bailey,WR,West Virginia,5-10,193,4.52,34.5,11,117,6.81,4.09
David Bakhtiari,OT,Colorado,6-4,299,5.18,25.5,28,101,7.70,4.74
Montee Ball,RB,Wisconsin,5-10,214,4.66,32.0,15,118,6.88,4.40
Johnthan Banks,CB,Mississippi State,6-2,185,4.61,34.0,10,125,6.97,4.27
Chris Barker,OG,Nevada,6-3,305,5.25,27.5,29,99,8.09,4.77
Matt Barkley,QB,USC,6-2,227,4.91,,,,,
Kenjon Barner,RB,Oregon,5-9,196,4.52,35.5,20,122,6.87,4.20
T.J. Barnes,DT,Georgia Tech,6-6,369,5.30,22.0,25,97,8.26,4.96
Sam Barrington,ILB,South Florida,6-1,246,4.91,32.5,22,117,,
David Bass,DE,Missouri Western State,6-4,262,4.84,30.5,20,111,7.07,4.33
Steve Beauharnais,ILB,Rutgers,6-1,240,4.84,33.0,19,118,6.99,4.20
Nick Becton,OT,Virginia Tech,6-5,323,5.20,29.5,19,109,7.77,4.57
Le'Veon Bell,RB,Michigan State,6-1,230,4.60,31.5,24,118,6.75,4.24
Giovani Bernard,RB,North Carolina,5-8,202,4.53,33.5,19,122,6.91,4.12
Tommy Bohanon,FB,Wake Forest,6-1,246,4.88,35.0,36,119,7.27,4.42
Travis Bond,OG,North Carolina,6-6,329,5.27,22.5,22,98,7.85,4.96
Alan Bonner,WR,Jacksonville State,5-10,193,4.59,33.0,14,117,,4.15
