Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
John Abraham,OLB,South Carolina,6-4,252,4.55,,,,,
Shaun Alexander,RB,Alabama,6-0,218,4.58,,,,,
Darnell Alford,OT,Boston Col.,6-4,334,5.56,25.0,23,94,8.48,4.98
Kyle Allamon,TE,Texas Tech,6-2,253,4.97,29.0,,104,7.29,4.49
Rashard Anderson,CB,Jackson State,6-2,206,4.55,34.0,,123,7.18,4.15
Jake Arians,K,Ala-Birmingham,5-10,202,,,,,,
LaVar Arrington,OLB,Penn State,6-3,250,4.53,,,,,
Corey Atkins,OLB,South Carolina,6-0,237,4.72,31.0,21,112,7.96,4.39
Kyle Atteberry,K,Baylor,6-0,167,,,,,,
Reggie Austin,CB,Wake Forest,5-9,175,4.44,35.0,17,119,7.03,4.14
John Baker,P,North Texas,6-3,227,,,,,,
Mark Baniewicz,OT,Syracuse,6-6,312,5.34,28.0,20,96,7.72,4.73
Rashidi Barnes,S,Colorado,6-0,208,4.62,35.0,10,114,6.92,4.32
David Barrett,CB,Arkansas,5-10,199,4.44,37.5,16,116,6.81,4.04
William Bartee,CB,Oklahoma,6-1,192,4.43,38.5,,124,6.70,3.99
Andrew Bayes,P,East Carolina,6-2,200,,,,,,
Terrance Beadles,OG,Ark-Pine Bluff,6-3,312,5.19,,29,,,
Robert Bean,CB,Mississippi State,5-11,178,4.50,34.5,,122,6.87,4.20
Anthony Becht,TE,West Virginia,6-6,270,4.78,33.5,,123,6.94,4.08
Matt Beck,ILB,California,6-3,234,4.65,,,,,
Rogers Beckett,S,Marshall,6-1,207,4.62,39.5,15,119,6.48,4.29
Brad Bedell,OG,Colorado,6-4,302,5.07,31.5,17,103,7.76,4.58
Marcus Bell,ILB,Arizona,6-2,237,4.78,31.5,21,111,7.17,4.33
Gary Berry,S,Ohio State,5-11,204,4.55,,,,,
Michael Boireau,DE,Miami (FL),6-4,274,5.09,29.0,26,105,7.68,4.49
Matt Bowen,S,Iowa,6-1,201,4.49,33.0,12,115,7.06,4.09
Carl Bradley,DT,Virginia Tech,6-2,300,5.03,,,,,
Tom Brady,QB,Michigan,6-4,211,5.28,24.5,,99,7.20,4.38
Robert Brannon,DT,Iowa State,6-4,309,5.19,28.5,28,99,7.82,4.70
Keith Brown,RB,UCLA,5-11,216,4.66,30.0,,117,6.64,4.08
Demario Brown,RB,Utah State,6-0,217,4.72,31.0,,107,7.17,4.39
Courtney Brown,DE,Penn State,6-5,269,4.78,,,,,
Mike Brown,S,Nebraska,5-10,204,4.59,36.0,14,116,6.93,4.01
Ralph Brown,CB,Nebraska,5-10,185,4.55,,10,,,
Travis Brown,QB,Northern Arizona,6-3,218,5.01,29.0,,101,7.54,4.87
Lamont Bryant,DE,Notre Dame,6-3,260,4.91,,17,,,
Marc Bulger,QB,West Virginia,6-2,208,4.97,,,100,7.46,4.34
Keith Bulluck,OLB,Syracuse,6-3,244,4.47,38.0,,119,7.33,4.13
Bill Burke,QB,Michigan State,6-4,206,5.03,28.5,,107,7.46,4.42
Plaxico Burress,WR,Michigan State,6-5,231,4.59,33.0,,115,,
David Byrd,CB,Syracuse,5-11,202,4.53,36.0,14,117,7.18,4.39
Trung Canidate,RB,Arizona,5-11,193,4.41,,18,,,
Cooper Carlisle,OG,Florida,6-5,297,5.16,31.0,28,100,7.82,4.48
Giovanni Carmazzi,QB,Hofstra,6-3,224,4.74,36.5,,119,6.94,4.23
Leonardo Carson,DE,Auburn,6-1,283,5.06,28.0,22,106,7.82,4.75
Tyrone Carter,S,Minnesota,5-8,190,4.50,41.0,16,121,6.75,4.19
Kwame Cavil,WR,Texas,6-2,208,4.54,39.5,,118,,
Chris Chaloupka,QB,SMU,6-2,216,4.96,,,,,
Doug Chapman,RB,Marshall,5-10,215,4.56,38.5,16,128,6.84,4.20
Ike Charlton,CB,Virginia Tech,5-11,205,4.47,,16,126,,

Chrys Chukwuma,RB,Arkansas,6-1,232,4.56,,,115,,
Joey Chustz,OT,Louisiana Tech,6-7,304,5.08,31.0,28,103,7.65,4.65
Pedro Cirino,S,Boston Col.,5-11,197,4.59,,,,,
John Saint Clair,C,Virginia,6-5,302,5.20,,25,,,
Kendrick Clancy,DT,Mississippi,6-1,283,5.25,27.5,25,108,7.98,4.65
Travis Claridge,OG,USC,6-5,303,5.15,31.5,29,100,7.77,4.86
Danny Clark,ILB,Illinois,6-2,245,4.75,,20,,,
Chad Clifton,OT,Tennessee,6-5,334,5.05,30.5,24,102,7.58,4.73
Chris Cole,WR,Texas A&M,6-0,191,4.37,37.5,,125,6.76,4.09
