Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Jamal Adams,S,LSU,6-0,214,4.56,31.5,18,120,6.96,4.13
Montravius Adams,DT,Auburn,6-4,304,4.87,29.0,22,108,7.62,4.89
Rodney Adams,WR,South Florida,6-1,189,4.44,29.5,8,125,6.98,4.28
Quincy Adeboyejo,WR,Mississippi,6-3,197,4.42,34.5,8,123,6.73,4.14
Brian Allen,CB,Utah,6-3,215,4.48,34.5,15,117,6.64,4.34
Jonathan Allen,DT,Alabama,6-3,286,5.00,30.0,21,108,7.49,4.50
Ryan Anderson,OLB,Alabama,6-2,253,4.78,,,,,
Alex Anzalone,OLB,Florida,6-3,241,4.63,30.5,16,116,6.88,4.25
Isaac Asiata,OG,Utah,6-3,323,5.34,25.5,35,102,7.83,4.93
Erik Austell,OG,Charleston Southern,6-3,301,5.23,27.5,24,107,8.13,4.90
Chidobe Awuzie,CB,Colorado,6-0,202,4.43,34.5,16,132,6.81,4.14
Budda Baker,S,Washington,5-10,195,4.45,32.5,15,115,6.76,4.08
Toby Baker,P,Arkansas,6-3,210,,,,,,
Zach Banner,OG,USC,6-8,353,5.58,23.5,22,92,8.31,5.21
Derek Barnett,DE,Tennessee,6-3,259,4.88,31.0,,117,6.96,4.44
Tarell Basham,DE,Ohio,6-4,269,4.70,31.5,15,119,7.27,4.35
C.J. Beathard,QB,Iowa,6-2,219,,31.0,,113,,
Kendell Beckwith,ILB,LSU,6-2,243,,,20,,,
Vince Biegel,OLB,Wisconsin,6-3,246,4.67,33.5,21,118,6.92,4.30
Adam Bisnowaty,OT,Pittsburgh,6-6,304,5.23,29.5,23,96,8.02,4.94
Garrett Bolles,OT,Utah,6-5,297,4.95,28.0,,115,7.29,4.55
Ben Boulware,ILB,Clemson,6-0,238,,29.5,20,111,7.02,4.43
Kendrick Bourne,WR,East. Washington,6-1,203,4.68,34.0,9,125,6.73,4.21
Tashawn Bower,OLB,LSU,6-5,250,4.82,31.5,20,121,7.20,4.37
Tyus Bowser,OLB,Houston,6-3,247,4.65,37.5,21,127,6.75,
Ben Braden,OG,Michigan,6-6,329,5.04,28.0,25,102,7.85,4.90
Caleb Brantley,DT,Florida,6-3,307,5.14,27.0,21,105,7.66,4.62
Billy Brown,TE,Shepherd,6-3,254,4.70,29.0,23,118,,
Blair Brown,ILB,Ohio,5-11,238,4.65,37.0,,124,6.92,4.18
Fadol Brown,DE,Mississippi,6-4,273,4.94,34.0,19,115,7.24,4.44
Jayon Brown,ILB,UCLA,6-0,231,4.70,31.5,17,120,,
Noah Brown,WR,Ohio State,6-2,222,,,19,,7.07,4.33
Pharaoh Brown,TE,Oregon,6-6,255,,34.0,24,,,
Daniel Brunskill,OT,San Diego State,6-5,273,,28.0,17,106,7.90,4.84
Collin Buchanan,OT,Miami (OH),6-5,316,,25.0,23,97,,
Riley Bullough,ILB,Michigan State,6-2,226,,31.5,20,116,,
Harrison Butker,K,Georgia Tech,6-4,199,,,,,,
Jake Butt,TE,Michigan,6-5,246,,,,,,
K.D. Cannon,WR,Baylor,5-11,182,4.41,37.0,13,119,,
Josh Carraway,DE,TCU,6-3,242,4.74,29.5,25,120,7.20,4.44
Chris Carson,RB,Oklahoma State,6-0,218,4.58,37.0,23,130,,
Cethan Carter,TE,Nebraska,6-3,241,4.68,,19,,,
Jamal Carter,S,Miami (FL),6-1,218,4.64,35.0,19,122,,
Taco Charlton,DE,Michigan,6-6,277,4.92,33.0,25,116,7.17,4.39
Jehu Chesson,WR,Michigan,6-3,204,4.47,35.5,10,132,6.70,4.09
Chuck Clark,S,Virginia Tech,6-0,208,4.54,34.0,16,122,6.85,4.07
Jeremy Clark,CB,Michigan,6-3,220,,,20,,,
Corey Clement,RB,Wisconsin,5-10,220,4.68,28.5,19,115,,
Chunky Clements,DT,Illinois,6-2,301,,,23,,,
Tarik Cohen,RB,North Carolina A&T,5-6,179,4.42,31.5,11,118,,

Stacy Coley,WR,Miami (FL),6-1,195,4.45,34.0,10,122,,
Aviante Collins,OG,TCU,6-4,295,4.81,,34,,,
Gareon Conley,CB,Ohio State,6-0,195,4.44,37.0,11,129,6.68,4.18
James Conner,RB,Pittsburgh,6-1,233,4.65,29.0,20,113,,
Dalvin Cook,RB,Florida State,5-10,210,4.49,30.5,22,116,7.27,4.53
Ethan Cooper,OG,Indiana (PA),6-2,322,5.36,24.5,26,99,8.02,4.88
Zach Cunningham,OLB,Vanderbilt,6-3,234,4.67,35.0,15,125,7.03,4.29
Darrell Daniels,TE,Washington,6-3,247,4.55,32.0,17,116,7.09,4.47
Amara Darboh,WR,Michigan,6-2,214,4.45,36.0,17,124,,
