Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Sam Acho,OLB,Texas,6-2,262,4.67,33.5,23,112,6.69,4.32
Darvin Adams,WR,Auburn,6-2,190,4.56,,,,,
Danny Aiken,LS,Virginia,6-4,244,5.00,,11,,,
Ladi Ajiboye,DT,South Carolina,6-1,297,5.30,24.0,23,91,7.72,4.71
Anthony Allen,RB,Georgia Tech,6-1,228,4.56,41.5,24,120,6.79,4.06
Armando Allen,RB,Notre Dame,5-8,199,4.59,,23,,,
Cortez Allen,CB,Citadel,6-1,197,4.50,35.5,18,129,6.76,4.01
Pierre Allen,DE,Nebraska,6-3,273,4.78,,,,,
Prince Amukamara,CB,Nebraska,6-0,206,4.38,38.0,15,128,6.97,4.08
David Arkin,OG,Missouri State,6-5,300,5.31,29.0,25,103,7.60,4.63
Matt Asiata,RB,Utah,5-11,229,4.77,30.0,22,104,7.09,4.37
Marvin Austin,DT,North Carolina,6-2,309,4.84,30.5,38,112,7.33,4.40
Akeem Ayers,OLB,UCLA,6-2,254,4.81,31.0,18,116,7.49,4.28
Allen Bailey,DE,Miami (FL),6-3,285,4.71,36.5,27,117,7.43,4.56
Dan Bailey,K,Oklahoma State,6-0,193,4.92,,,,,
Brandon Bair,DE,Oregon,6-6,276,4.92,28.0,26,114,7.07,4.37
Jon Baldwin,WR,Pittsburgh,6-4,228,4.49,42.0,20,129,7.07,4.34
Christian Ballard,DE,Iowa,6-4,283,4.75,31.5,,111,7.54,4.51
Joe Barksdale,OT,LSU,6-5,325,5.31,29.0,29,103,8.27,4.75
Ryan Bartholomew,C,Syracuse,6-1,302,4.93,26.5,34,92,7.62,4.62
Jeremy Beal,DE,Oklahoma,6-2,262,5.14,28.5,22,106,7.19,4.46
Nick Bellore,ILB,Central Michigan,6-1,245,4.84,32.5,23,109,6.98,4.00
Damien Berry,RB,Miami (FL),5-10,211,4.58,33.5,23,120,7.00,4.12
Armon Binns,WR,Cincinnati,6-3,209,4.50,31.5,13,118,6.86,4.31
Ahmad Black,S,Florida,5-9,184,4.70,35.5,18,119,6.85,4.20
Clint Boling,OG,Georgia,6-5,308,5.28,31.0,28,102,7.66,4.64
Justin Boren,OG,Ohio State,6-3,309,5.40,,28,,7.57,4.75
Matt Bosher,P,Miami (FL),6-1,208,4.78,,8,,,
Da'Quan Bowers,DE,Clemson,6-3,280,4.92,,22,,,
Allen Bradford,RB,USC,5-11,242,4.53,29.0,28,113,6.97,4.39
James Brewer,OT,Indiana,6-6,323,5.21,26.0,25,100,7.84,4.81
Niles Brinkley,CB,Wisconsin,5-9,193,4.54,33.5,15,120,7.23,
DeAndre Brown,WR,Southern Miss,6-6,233,4.59,29.0,20,117,6.93,4.33
