Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Kevin Akins,OLB,Boston Col.,6-2,218,4.73,31.5,15,117,6.78,4.15
Asher Allen,CB,Georgia,5-9,194,4.48,35.0,22,115,6.93,4.30
Roger Allen,OG,Missouri Western State,6-3,326,5.25,,,,,
Stanley Arnoux,ILB,Wake Forest,6-0,232,4.56,31.5,19,121,7.22,4.39
Robert Ayers,DE,Tennessee,6-3,272,4.77,29.5,18,102,7.56,4.51
Chris Baker,DT,Kansas State,6-2,326,4.94,35.5,24,106,8.06,4.90
Ramses Barden,WR,Cal Poly,6-6,229,4.51,33.5,17,118,,4.26
Kevin Barnes,CB,Maryland,6-0,187,4.45,38.5,,128,6.72,3.96
Connor Barwin,OLB,Cincinnati,6-4,256,4.47,40.5,21,128,6.87,4.18
Will Beatty,OT,Connecticut,6-6,307,5.06,33.5,27,107,7.62,4.77
Travis Beckum,TE,Wisconsin,6-3,243,4.61,,28,,,
Darry Beckwith,ILB,LSU,6-0,242,4.63,26.5,23,110,7.39,4.50
Joel Bell,OT,Furman,6-7,315,5.11,30.0,27,109,7.55,4.57
Kahlil Bell,RB,UCLA,5-11,212,4.74,34.5,15,114,6.87,4.20
Michael Bennett,DE,Texas A&M,6-3,274,4.86,31.0,24,110,,
Demonte' Bolden,DT,Tennessee,6-3,285,4.95,31.5,,109,7.50,4.78
Jason Boltus,QB,Hartwick,6-3,225,4.82,31.5,26,111,7.00,4.47
Rhett Bomar,QB,SMU,6-2,225,4.70,,25,106,6.91,4.06
Alex Boone,OT,Ohio State,6-7,328,5.16,27.5,33,103,7.83,4.69
Ron Brace,DT,Boston Col.,6-3,330,5.48,28.0,32,99,8.15,4.73
Tom Brandstater,QB,Fresno State,6-5,220,4.87,28.5,,106,6.93,4.37
Marquez Branson,FB,Central Arkansas,6-2,247,4.55,35.0,22,109,,
Justin Brantly,P,Texas A&M,6-3,249,4.83,,,,,
Robert Brewster,OT,Ball State,6-4,325,5.29,30.5,23,98,7.68,4.75
Travis Bright,OG,BYU,6-4,321,5.26,35.5,34,108,7.75,4.72
Jasper Brinkley,ILB,South Carolina,6-2,252,4.67,35.5,26,114,7.03,4.32
Kenny Britt,WR,Rutgers,6-3,218,4.47,37.0,23,124,,4.47
Eben Britton,OT,Arizona,6-6,309,5.14,28.5,24,100,7.87,4.91
Jared Bronson,TE,Central Washington,6-4,253,4.70,32.5,,116,7.15,4.33
Nathan Brown,QB,Central Arkansas,6-1,219,4.86,30.5,,106,7.43,4.44
Andre Brown,RB,North Carolina State,6-0,224,4.37,37.0,24,115,7.35,4.33
Cody Brown,OLB,Connecticut,6-2,244,4.76,36.5,26,120,7.10,4.40
Donald Brown,RB,Connecticut,5-10,210,4.46,41.5,,125,6.93,4.10
Everette Brown,DE,Florida State,6-1,256,4.65,31.5,26,114,7.55,4.53
Rob Bruggeman,C,Iowa,6-4,293,5.05,,30,,,
David Bruton,S,Notre Dame,6-2,219,4.40,41.5,19,132,6.60,4.28
David Buehler,K,USC,6-2,227,4.57,,25,,,
Joe Burnett,CB,Central Florida,5-9,192,4.58,35.5,22,118,6.68,4.25
Darius Butler,CB,Connecticut,5-10,183,4.41,43.0,,134,6.92,4.18
Deon Butler,WR,Penn State,5-10,182,4.31,34.5,12,118,7.01,4.48
Victor Butler,OLB,Oregon State,6-2,248,4.72,33.0,24,113,7.21,4.40
Jairus Byrd,CB,Oregon,5-10,207,4.68,,,,,
Demetrius Byrd,WR,LSU,6-0,199,4.35,31.5,,117,,
Gerald Cadogan,OT,Penn State,6-5,309,4.99,25.0,26,95,8.05,4.80
Antoine Caldwell,C,Alabama,6-3,309,5.24,28.0,23,111,7.96,5.04
Ian Campbell,DE,Kansas State,6-4,265,4.99,,,109,6.93,4.28
Trevor Canfield,OG,Cincinnati,6-4,307,5.28,,29,,,
Hunter Cantwell,QB,Louisville,6-4,235,5.22,26.0,,99,7.40,4.59
Don Carey,CB,Norfolk State,5-11,192,4.49,,18,,,
Rudy Carpenter,QB,Arizona State,6-2,218,4.89,29.0,11,100,7.25,4.47

James Casey,FB,Rice,6-3,246,4.69,36.0,28,111,7.00,4.48
Jonathan Casillas,OLB,Wisconsin,6-1,228,4.50,,24,,,
Jeremy Childs,WR,Boise State,6-0,200,4.47,33.5,,115,6.90,4.26
Patrick Chung,S,Oregon,5-11,212,4.49,34.0,25,119,,
