Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Ameer Abdullah,RB,Nebraska,5-9,205,4.60,42.5,24,130,6.79,3.95
Nelson Agholor,WR,USC,6-0,198,4.42,,12,,,
Jay Ajayi,RB,Boise State,6-0,221,4.57,39.0,19,121,7.10,4.10
Kwon Alexander,OLB,LSU,6-1,227,4.55,36.0,24,121,7.14,4.20
Mario Alford,WR,West Virginia,5-8,180,4.43,34.0,13,121,6.64,4.07
Javorius Allen,RB,USC,6-0,221,4.53,35.5,11,121,6.96,4.28
Adrian Amos,S,Penn State,6-0,218,4.56,35.5,,122,7.09,4.03
Dres Anderson,WR,Utah,6-1,187,4.54,,13,,,
Henry Anderson,DE,Stanford,6-6,294,4.97,30.0,,111,7.20,4.19
Rory Anderson,TE,South Carolina,6-5,244,4.73,,,,,
Stephone Anthony,ILB,Clemson,6-3,243,4.56,37.0,23,122,7.07,4.03
Arik Armstead,DE,Oregon,6-7,292,5.06,34.0,24,117,7.57,4.53
Cameron Artis-Payne,RB,Auburn,5-10,212,4.53,36.5,,118,7.13,
Neiron Ball,OLB,Florida,6-2,236,4.65,,22,,,
Tavaris Barnes,DE,Clemson,6-4,282,4.80,,22,,,
Will Baumann,P,Boise State,6-6,187,5.14,,,,,
Vic Beasley,OLB,Clemson,6-3,246,4.53,41.0,35,130,6.91,4.15
Blake Bell,TE,Oklahoma,6-6,252,4.80,33.0,14,116,6.85,4.32
Kenny Bell,WR,Nebraska,6-1,197,4.42,41.5,7,129,6.66,4.15
Bryan Bennett,QB,SE Louisiana,6-2,211,4.81,37.0,,125,7.13,4.20
Mike Bennett,DT,Ohio State,6-2,293,5.04,,,,,
E.J. Bibbs,TE,Iowa State,6-2,258,4.88,,20,,,
Angelo Blackson,DT,Auburn,6-4,318,5.02,31.0,20,101,7.50,4.57
Al Bond,OG,Memphis,6-4,303,5.57,23.5,22,90,7.90,4.65
Detrick Bonner,S,Virginia Tech,6-0,207,4.56,,15,,,
Anthony Boone,QB,Duke,6-0,231,5.03,26.5,,100,7.47,4.62
Brett Boyko,OG,UNLV,6-7,301,5.60,25.0,,103,7.91,4.75
Nick Boyle,TE,Pittsburgh,6-4,268,5.04,30.5,20,112,7.13,4.23
Brandon Bridge,QB,South Alabama,6-4,229,4.72,33.0,,110,7.18,4.37
Kyle Brindza,K,Notre Dame,6-1,236,5.17,,14,,,
Da'Ron Brown,WR,Northern Illinois,6-0,205,4.54,37.0,17,120,7.04,4.11
Dominique Brown,RB,Louisville,6-2,234,4.63,,17,,,
Jamon Brown,OT,Louisville,6-4,323,5.08,,,,,
Malcom Brown,DT,Texas,6-2,319,5.05,29.5,26,98,7.84,4.59
Malcolm Brown,RB,Texas,5-11,224,4.62,34.5,19,117,6.86,4.15
Trenton Brown,OG,Florida,6-8,355,5.21,23.5,20,97,8.23,4.78
Michael Burton,FB,Rutgers,5-11,242,4.65,33.0,25,115,7.20,4.34
Ibraheim Campbell,S,Northwestern,5-11,208,4.52,,23,,,
A.J. Cann,OG,South Carolina,6-3,313,5.47,,26,,,
Shane Carden,QB,East Carolina,6-2,218,4.94,29.5,,104,7.17,4.45
Joe Cardona,LS,Navy,6-2,242,4.91,33.0,30,,,
Alex Carter,CB,Stanford,6-0,196,4.51,40.0,17,121,7.05,4.07
B.J. Catalon,RB,TCU,5-7,186,4.57,36.0,,114,6.90,4.15
Donald Celiscar,CB,West. Michigan,5-11,194,4.62,,,120,,
Anthony Chickillo,DE,Miami (FL),6-3,267,4.79,34.5,27,114,7.17,4.25
Gerald Christian,TE,Louisville,6-3,244,4.87,,28,,7.62,4.70
Kyle Christy,P,Florida,6-2,202,4.93,,,,,
Frank Clark,DE,Michigan,6-3,271,4.79,38.5,19,118,7.08,4.05
Kaelin Clay,WR,Utah,5-10,195,4.51,33.0,10,113,6.97,4.26
Cameron Clear,OT,Texas A&M,6-5,277,4.98,32.0,,108,7.52,4.48

T.J. Clemmings,OT,Pittsburgh,6-5,309,5.14,32.5,22,111,7.68,4.54
Sammie Coates,WR,Auburn,6-1,212,4.43,41.0,23,131,6.98,4.06
David Cobb,RB,Minnesota,5-11,229,4.81,38.5,17,121,,
Takoby Cofield,OT,Duke,6-4,310,5.19,30.0,23,101,8.09,4.79
Justin Coleman,CB,Tennessee,5-11,185,4.53,37.5,20,124,6.61,3.98
Tevin Coleman,RB,Indiana,5-11,206,4.40,,22,,,
Jalen Collins,CB,LSU,6-1,203,4.48,36.0,,124,6.77,4.27
Landon Collins,S,Alabama,6-0,228,4.53,35.0,,120,7.38,4.33
La'el Collins,OT,LSU,6-4,305,5.10,27.0,21,108,7.70,4.63
Chris Conley,WR,Georgia,6-2,213,4.35,45.0,18,139,7.06,4.30
Amari Cooper,WR,Alabama,6-1,211,4.42,33.0,,120,6.71,3.98
Xavier Cooper,DT,Washington State,6-3,293,4.86,29.0,29,110,7.23,4.37
Christian Covington,DT,Rice,6-2,289,4.90,,,,,
Justin Cox,CB,Mississippi State,6-1,191,4.36,38.0,15,129,7.05,4.07
Corey Crawford,DE,Clemson,6-5,299,5.01,33.0,,110,7.64,4.65
Rob Crisp,OT,Boise State,6-7,301,5.26,32.5,26,107,8.07,4.60
John Crockett,RB,North Dakota State,6-0,217,4.62,40.0,15,125,7.15,4.25
Jamison Crowder,WR,Duke,5-8,185,4.56,37.0,10,115,7.17,4.32
Yannick Cudjoe-Virgil,OLB,Maryland,6-2,248,4.80,,25,,,
DaVaris Daniels,WR,Notre Dame,6-1,201,4.62,37.0,13,122,,
Ronald Darby,CB,Florida State,5-11,193,4.38,41.5,12,129,6.94,4.14
Devante Davis,WR,UNLV,6-3,220,4.57,35.5,16,115,7.25,4.12
Aaron Davis,OLB,Colorado State,6-0,225,4.95,29.0,16,107,7.38,4.37
Carl Davis,DT,Iowa,6-5,320,5.07,33.0,,103,7.91,4.47
Geremy Davis,WR,Connecticut,6-2,216,4.49,36.5,23,124,6.86,4.18
Mike Davis,RB,South Carolina,5-9,217,4.61,34.0,17,116,7.00,4.18
Titus Davis,WR,Central Michigan,6-1,196,4.51,32.5,,119,7.14,4.28
Tyeler Davison,DT,Fresno State,6-2,316,5.18,33.0,32,105,7.53,4.46
Paul Dawson,ILB,TCU,6-0,235,4.93,28.0,21,109,,4.49
Ryan Delaire,DE,Towson,6-4,254,4.97,,23,,,
Trey DePriest,ILB,Alabama,6-0,254,4.93,,,,,
AJ Derby,TE,Arkansas,6-4,255,4.72,,15,,,
Xzavier Dickson,OLB,Alabama,6-3,260,4.74,29.5,19,100,7.56,4.53
Quandre Diggs,CB,Texas,5-9,196,4.56,35.5,17,113,7.22,4.15
Stefon Diggs,WR,Maryland,6-0,195,4.46,35.0,,115,7.03,4.32
Reese Dismukes,C,Auburn,6-3,296,5.31,27.5,23,107,8.14,4.70
Andrew Donnal,OT,Iowa,6-6,313,5.31,32.0,17,101,7.84,4.77
Phillip Dorsett,WR,Miami (FL),5-10,185,4.33,37.0,13,122,6.70,4.11
Lorenzo Doss,CB,Tulane,5-10,182,4.50,33.5,9,115,7.20,4.26
Jamil Douglas,OG,Arizona State,6-4,304,5.25,29.0,28,99,7.99,4.75
Kurtis Drummond,S,Michigan State,6-1,208,4.65,39.5,,119,7.09,4.33
B.J. Dubose,DE,Louisville,6-4,284,5.06,,26,,,
Alvin Dupree,DE,Kentucky,6-4,269,4.56,42.0,,138,,
Michael Dyer,RB,Louisville,5-8,218,4.58,34.0,26,120,,
Jahwan Edwards,RB,Ball State,5-9,220,4.80,35.5,16,117,7.63,4.50
Ifo Ekpre-Olomu,CB,Oregon,5-9,192,4.52,,,,,
Kyle Emanuel,OLB,North Dakota State,6-3,255,4.77,34.0,27,120,7.10,4.25
Cameron Erving,C,Florida State,6-5,313,5.15,30.5,30,112,7.48,4.63
Durell Eskridge,S,Syracuse,6-3,208,4.56,31.0,,117,7.09,4.26
Tayo Fabuluje,OG,TCU,6-6,353,5.55,29.5,,,,4.77

Cody Fajardo,QB,Nevada,6-1,223,4.63,32.5,,118,6.95,4.10
Jon Feliciano,OG,Miami (FL),6-4,323,5.33,26.5,,97,,4.74
Sam Ficken,K,Penn State,6-1,191,5.06,,,,,
B.J. Finney,C,Kansas State,6-4,318,5.25,24.0,20,99,,4.76
Jake Fisher,OT,Oregon,6-6,306,5.01,32.5,25,,7.25,4.33
Ereck Flowers,OT,Miami (FL),6-6,329,5.31,,37,,,
Trey Flowers,DE,Arkansas,6-2,266,4.93,36.5,28,121,7.34,4.40
Dante Fowler,OLB,Florida,6-3,261,4.60,32.5,19,112,7.40,4.32
Jalston Fowler,FB,Alabama,5-11,254,4.94,33.5,23,114,7.56,4.40
Alani Fua,OLB,BYU,6-5,238,4.73,34.5,18,118,6.83,4.15
Devin Funchess,WR,Michigan,6-4,232,4.70,38.5,17,122,,
Charles Gaines,CB,Louisville,5-10,180,4.44,34.5,,123,7.07,4.20
Andy Gallik,C,Boston Col.,6-2,306,5.50,27.0,29,96,7.66,4.58
Max Garcia,C,Florida,6-4,309,5.24,,,,,
Clayton Geathers,S,Central Florida,6-2,218,4.55,37.0,22,120,7.21,4.27
Laurence Gibson,OT,Virginia Tech,6-6,305,5.04,33.5,24,113,7.72,4.56
Jacoby Glenn,CB,Central Florida,6-0,179,4.64,34.0,,123,6.97,4.26
Mark Glowinski,OG,West Virginia,6-4,307,5.20,29.5,31,113,7.56,4.58
Markus Golden,OLB,Missouri,6-2,260,4.90,,,,,
Eddie Goldman,DT,Florida State,6-4,336,5.28,,,,,
Senquez Golson,CB,Mississippi,5-9,176,4.46,33.5,15,120,6.81,4.20
Antwan Goodley,WR,Baylor,5-10,209,4.44,,,,,
