Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Johnathan Abram,S,Mississippi State,5-11,205,4.45,,,116,,
Paul Adams,OT,Missouri,6-6,317,5.18,27.0,16,103,7.68,4.74
Nasir Adderley,S,Delaware,6-0,206,,,,,,
Azeez Al-Shaair,LB,Florida Atlantic,6-1,234,,,16,,,
Otaro Alaka,LB,Texas A&M,6-3,239,4.82,36.0,20,131,,
Dakota Allen,LB,Texas Tech,6-1,232,4.77,31.5,23,116,6.88,4.04
Josh Allen,EDGE,Kentucky,6-5,262,4.63,,28,118,7.15,4.23
Zach Allen,DL,Boston Col.,6-4,281,5.00,32.0,24,112,7.34,4.36
Bryson Allen-Williams,LB,South Carolina,6-1,236,4.88,,14,,7.40,
Jeff Allison,LB,Fresno State,5-11,228,4.82,31.0,12,115,7.20,4.45
Ugo Amadi,S,Oregon,5-9,199,4.51,32.5,18,115,7.21,4.19
Rodney Anderson,RB,Oklahoma,6-0,224,,,25,,,
J.J. Arcega-Whiteside,WR,Stanford,6-2,225,,,,,,
Ryquell Armstead,RB,Temple,5-11,220,4.45,30.0,22,114,7.02,4.29
Blessuan Austin,CB,Rutgers,6-1,198,,,15,,,
Jake Bailey,P,Stanford,6-1,200,4.72,33.0,,117,,
Zack Bailey,OL,South Carolina,6-5,299,,28.0,24,103,,
Derrick Baity,CB,Kentucky,6-2,197,,38.5,10,127,7.06,4.31
Deandre Baker,CB,Georgia,5-11,193,4.52,,14,118,,
Corey Ballentine,CB,Washburn,5-11,196,4.47,39.5,15,135,6.82,4.14
Ben Banogu,EDGE,TCU,6-3,250,4.62,40.0,23,134,7.02,4.27
Alex Barnes,RB,Kansas State,6-0,226,4.59,38.5,34,126,6.95,4.10
Alex Bars,OL,Notre Dame,6-6,312,,,,,,
Cody Barton,LB,Utah,6-2,237,4.64,32.5,30,116,6.90,4.03
Jackson Barton,OT,Utah,6-7,310,5.18,27.0,25,109,7.85,4.66
Ryan Bates,OL,Penn State,6-4,306,5.09,27.0,28,102,7.45,4.53
John Battle,S,LSU,6-0,201,4.67,29.5,,120,7.09,4.33
Terry Beckner,DL,Missouri,6-4,296,5.19,24.5,28,98,7.97,4.82
Mike Bell,S,Fresno State,6-3,210,4.83,30.0,10,118,7.10,4.46
Beau Benzschawel,OL,Wisconsin,6-6,309,5.24,,20,,,
Marquise Blair,S,Utah,6-1,195,4.48,35.0,,125,,
Kendall Blanton,TE,Missouri,6-6,262,4.95,31.0,22,113,7.37,4.42
Nick Bosa,DL,Ohio State,6-4,266,4.79,33.5,29,116,7.10,4.14
Kris Boyd,CB,Texas,5-11,201,4.45,36.5,19,127,6.94,4.08
Miles Boykin,WR,Notre Dame,6-4,220,4.42,43.5,12,140,6.77,4.07
Garrett Bradbury,OL,North Carolina State,6-3,306,4.92,31.0,34,104,7.41,4.53
Tyre Brady,WR,Marshall,6-3,211,,32.0,12,117,,4.25
Jordan Brailford,EDGE,Oklahoma State,6-3,252,4.65,37.5,22,126,,
Nick Brossette,RB,LSU,5-11,209,4.72,35.5,15,118,7.38,4.44
Jordan Brown,CB,South Dakota State,6-0,201,4.51,39.5,13,128,,
A.J. Brown,WR,Mississippi,6-0,226,4.49,36.5,19,120,,
Blace Brown,CB,Troy,6-0,194,4.75,,14,126,7.33,4.22
Keenen Brown,TE,Texas State,6-2,250,4.75,33.0,17,117,7.27,4.51
Marquise Brown,WR,Oklahoma,5-9,166,,,,,,
Jake Browning,QB,Washington,6-2,211,4.74,29.0,,112,7.19,4.44
Austin Bryant,EDGE,Clemson,6-4,271,,,,,,
Isaiah Buggs,DL,Alabama,6-3,306,5.15,24.5,20,96,8.01,4.83
Sean Bunting,CB,Central Michigan,6-0,195,4.42,41.5,14,126,,
Brian Burns,EDGE,Florida State,6-5,249,4.53,36.0,,129,7.01,
Ben Burr-Kirven,LB,Washington,6-0,230,4.56,34.5,21,121,6.85,4.09

Devin Bush,LB,Michigan,5-11,234,4.43,40.5,21,124,6.93,4.23
Emmanuel Butler,WR,Northern Arizona,6-3,217,,36.0,11,115,,4.22
Hakeem Butler,WR,Iowa State,6-5,227,4.48,36.0,18,128,,
Yodny Cajuste,OT,West Virginia,6-5,312,,,32,,,
Deion Calhoun,OL,Mississippi State,6-2,310,5.07,28.5,26,105,7.46,4.62
Parris Campbell,WR,Ohio State,6-0,205,4.31,40.0,11,135,,4.03
Malik Carney,EDGE,North Carolina,6-2,251,4.73,33.0,25,113,7.40,
Blake Cashman,LB,Minnesota,6-1,237,4.50,37.5,18,124,6.95,4.12
Hamp Cheevers,CB,Boston Col.,5-9,169,4.52,39.0,8,122,6.96,4.25
Demarcus Christmas,DL,Florida State,6-3,294,5.08,25.5,22,101,8.13,5.07
L.J. Collier,DL,TCU,6-2,283,4.91,30.0,25,118,7.71,4.78
John Cominsky,DL,Charleston,6-5,286,4.69,33.5,22,116,7.03,4.38
