Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Dante Pettis,WR,Washington,6-0,186,,,,,,
Kemoko Turay,EDGE,Rutgers,6-5,253,4.65,,,,,
Josh Adams,RB,Notre Dame,6-2,213,,,18,,,
Ola Adeniyi,EDGE,Toledo,6-2,248,4.83,31.5,26,,7.21,4.28
Jordan Akins,TE,Central Florida,6-3,249,,,,,,
Jaire Alexander,CB,Louisville,5-11,192,4.38,35.0,14,127,6.71,3.98
Austin Allen,QB,Arkansas,6-0,210,4.81,29.5,,112,7.18,4.48
Brian Allen,C,Michigan State,6-1,298,5.34,26.5,27,99,7.81,4.71
Josh Allen,QB,Wyoming,6-5,237,4.75,33.5,,119,6.90,4.40
Marcus Allen,S,Penn State,6-2,202,,37.0,15,127,,4.32
Mark Andrews,TE,Oklahoma,6-5,256,4.67,31.0,17,113,7.34,4.38
Troy Apke,S,Penn State,6-2,198,4.34,41.0,16,131,6.56,4.03
Dorance Armstrong,EDGE,Kansas,6-4,257,4.87,30.0,20,118,7.12,4.23
Ade Aruna,DE,Tulane,6-6,262,4.60,38.5,18,128,7.53,4.48
Marcell Ateman,WR,Oklahoma State,6-4,216,4.62,34.0,13,121,7.07,4.25
John Atkins,DT,Georgia,6-4,321,5.38,24.0,,89,7.95,4.75
Anthony Averett,CB,Alabama,6-0,185,4.36,31.5,13,119,6.93,4.40
Genard Avery,ILB,Memphis,6-1,248,4.59,36.0,26,124,6.90,4.36
Mike Badgley,K,Miami (FL),5-10,183,4.94,,,111,,
Jerome Baker,OLB,Ohio State,6-1,229,4.53,36.5,22,126,,
Kalen Ballage,RB,Arizona State,6-1,228,4.46,33.5,15,122,6.91,4.35
Saquon Barkley,RB,Penn State,6-0,233,4.40,41.0,29,,,4.24
J.T. Barrett,QB,Ohio State,6-1,224,4.70,30.0,,108,7.38,4.44
Jessie Bates,S,Wake Forest,6-2,195,4.50,35.5,,117,6.78,4.26
Marcus Baugh,TE,Ohio State,6-3,247,4.81,33.0,,117,7.28,4.51
Nick Bawden,FB,San Diego State,6-2,245,,,,,,
Davin Bellamy,EDGE,Georgia,6-5,255,,,15,,,
Kurt Benkert,QB,Virginia,6-3,218,4.95,31.0,16,112,7.15,4.33
Braxton Berrios,WR,Miami (FL),5-9,184,,,11,,,
Keishawn Bierria,ILB,Washington,6-2,230,4.79,30.5,21,117,7.26,
Quin Blanding,S,Virginia,6-2,215,4.63,31.5,,122,,
David Bright,OT,Stanford,6-5,307,,,,,,
Drew Brown,K,Nebraska,5-10,208,,,,,,
Andrew Brown,DE,Virginia,6-4,296,5.03,28.0,31,101,7.51,4.48
Orlando Brown,OT,Oklahoma,6-8,345,5.85,19.5,14,82,7.87,5.38
