Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Jared Abbrederis,WR,Wisconsin,6-1,195,4.50,30.5,4,117,6.80,4.08
Davante Adams,WR,Fresno State,6-1,212,4.56,39.5,14,123,6.82,4.30
Mo Alexander,S,Utah State,6-1,220,4.50,38.0,,123,7.05,4.51
Ricardo Allen,CB,Purdue,5-9,187,4.61,35.5,13,117,,4.15
Jace Amaro,TE,Texas Tech,6-5,265,4.74,33.0,28,118,7.42,4.30
Antonio Andrews,RB,Western Kentucky,5-10,225,4.82,29.5,20,106,7.24,4.49
Dri Archer,WR,Kent State,5-8,173,4.26,38.0,20,122,6.86,4.06
Matt Armstrong,C,Grand Valley State,6-2,302,5.18,,,,,
George Atkinson,RB,Notre Dame,6-1,218,4.48,38.0,19,121,7.07,4.46
Jeremiah Attaochu,OLB,Georgia Tech,6-3,252,,,,,,
Dion Bailey,S,USC,6-0,201,4.66,34.0,,113,6.97,4.15
Anthony Barr,OLB,UCLA,6-5,255,4.66,34.5,15,119,6.82,4.19
Lamin Barrow,ILB,LSU,6-1,237,4.64,35.0,22,123,7.24,4.35
Deion Belue,CB,Alabama,5-11,182,4.48,,11,,,
Kelvin Benjamin,WR,Florida State,6-5,240,4.61,32.5,13,119,7.33,4.39
Bene' Benwikere,CB,San Jose State,5-11,195,4.59,40.5,10,122,6.94,4.38
Nat Berhe,S,San Diego State,5-10,193,4.71,35.5,15,117,7.08,4.22
Kapri Bibbs,RB,Colorado State,5-9,212,4.67,29.0,24,106,,
Joel Bitonio,OG,Nevada,6-4,302,4.92,32.0,22,114,7.37,4.44
Rob Blanchflower,TE,Massachusetts,6-4,256,4.82,,,,,
Alfred Blue,RB,LSU,6-2,223,4.63,32.0,13,121,7.15,4.50
Russell Bodine,OG,North Carolina,6-3,310,5.18,29.0,42,109,8.26,4.66
Conor Boffeli,OG,Iowa,6-4,298,5.30,25.0,21,101,7.44,4.61
Chris Borland,ILB,Wisconsin,5-11,248,4.83,31.0,27,114,7.18,4.27
Blake Bortles,QB,Central Florida,6-5,232,4.93,32.5,,115,7.08,4.21
Tre Boston,S,North Carolina,6-0,204,4.58,35.0,18,116,7.04,4.31
Chris Boswell,K,Rice,6-2,185,4.93,,,,,
Chris Boyd,WR,Vanderbilt,6-4,206,4.73,,12,,,
Tajh Boyd,QB,Clemson,6-1,222,4.84,30.5,,106,7.33,4.23
Carl Bradford,OLB,Arizona State,6-1,250,4.76,37.5,23,122,7.25,4.30
Bashaud Breeland,CB,Clemson,5-11,197,4.62,34.5,11,123,7.04,4.33
Teddy Bridgewater,QB,Louisville,6-2,214,,30.0,,113,7.17,4.20
Justin Britt,OT,Missouri,6-6,325,5.19,27.5,23,100,8.14,4.69
Jay Bromley,DT,Syracuse,6-3,306,5.06,33.5,26,106,7.92,4.78
Terrence Brooks,S,Florida State,5-11,198,4.42,38.0,10,119,7.35,
Jonathan Brown,OLB,Illinois,6-0,238,5.03,31.0,16,108,7.77,4.56
John Brown,WR,Pittsburg State,5-10,179,4.34,36.5,,119,6.91,4.12
Corey Brown,WR,Ohio State,5-11,178,4.51,33.0,,116,7.16,4.22
