Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Khalid Abdullah,OLB,Mars Hill,6-2,227,4.61,36.5,26,126,7.13,4.25
Anthony Adams,DT,Penn State,6-0,299,5.13,30.5,,109,7.68,4.59
Sam Aiken,WR,North Carolina,6-2,209,4.59,39.5,,121,7.22,
Paul Arnold,WR,Washington,6-1,213,4.53,40.5,,131,6.84,4.11
B.J. Askew,RB,Michigan,6-2,241,4.60,,,,,
Nnamdi Asomugha,CB,California,6-2,213,4.45,37.5,16,124,,
Rod Babers,CB,Texas,5-9,192,4.43,37.0,15,127,6.83,4.07
Boss Bailey,OLB,Georgia,6-3,233,4.58,42.0,,135,,
Korey Banks,CB,Mississippi State,5-10,188,4.58,,15,,,
Brad Banks,QB,Iowa,5-11,201,4.67,33.5,,112,,
Tully Banta-Cain,DE,California,6-2,264,4.79,,25,,,
Nick Barnett,OLB,Oregon State,6-2,236,4.67,34.5,32,123,7.00,4.08
Solomon Bates,ILB,Arizona State,6-1,243,4.89,30.0,19,112,7.23,4.34
Justin Bates,OG,Colorado,6-4,300,5.38,,18,,,
Arnaz Battle,WR,Notre Dame,6-1,217,4.58,35.0,,117,6.74,4.06
Julian Battle,CB,Tennessee,6-2,205,4.45,,,,,
Santonio Beard,RB,Alabama,6-0,222,4.62,31.5,,119,,
Ronald Bellamy,WR,Michigan,6-0,208,4.57,30.5,,119,7.38,4.10
Sean Berton,TE,North Carolina State,6-4,279,5.02,31.0,,107,7.18,4.35
Jordan Black,OT,Notre Dame,6-6,314,5.18,30.0,,106,7.65,4.50
Josh Blankenship,QB,Tulsa,6-2,211,5.16,28.5,,103,7.59,4.42
Anquan Boldin,WR,Florida State,6-1,216,4.72,33.5,,114,7.35,4.33
Kyle Boller,QB,California,6-3,234,4.61,35.5,,117,7.20,4.02
Ulish Booker,OT,Michigan State,6-6,304,5.24,,,,,
Colin Branch,S,Stanford,6-0,203,4.40,36.0,22,119,,
